India/State/ UT,Enrolment – Government,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,7891716,8654774,16546490,4780611,5728392,10509003,57494774,60883235,118378009,59101438,62488473,121589911
Andaman and Nicobar Islands,4430,4188,8618,3942,4324,8266,21269,21042,42311,23851,23608,47459
Andhra Pradesh,361864,401351,763215,88709,139687,228396,1687977,1919569,3607546,1705613,1937470,3643083
Arunachal Pradesh,14954,17145,32099,10486,11442,21928,75031,87172,162203,78961,91151,170112
Assam,293849,393908,687757,154214,188245,342459,2165702,2424606,4590308,2290335,2551474,4841809
Bihar,1103045,1260078,2363123,869481,962066,1831547,8291639,8866190,17157829,8292321,8866715,17159036
Chandigarh,13232,12083,25315,11824,11819,23643,69371,64981,134352,76528,72072,148600
Chhattisgarh,292525,334478,627003,172948,242002,414950,1812837,1952675,3765512,1838559,1979390,3817949
"Dadra and Nagar Haveli andDaman and Diu",7689,7503,15192,4035,5154,9189,44013,44293,88306,47777,47923,95700
Delhi,234850,239880,474730,179090,202452,381542,1145697,1213920,2359617,1196072,1273321,2469393
Goa,2550,2314,4864,1945,1837,3782,19900,18645,38545,21252,19965,41217
Gujarat,85589,88826,174415,34915,43708,78623,2434271,2413655,4847926,2696751,2671310,5368061
Haryana,176090,183054,359144,144490,163477,307967,1030981,1092789,2123770,1067200,1132867,2200067
Himachal Pradesh,73877,73272,147149,67957,70832,138789,363339,366374,729713,399292,402854,802146
Jammu and Kashmir,103059,100009,203068,97751,95145,192896,599838,607893,1207731,691629,702191,1393820
Jharkhand,333487,380869,714356,191939,236379,428318,2340110,2491404,4831514,2359497,2510855,4870352
Karnataka,376773,402749,779522,115497,197596,313093,2240694,2452721,4693415,2260966,2473394,4734360
Kerala,152085,142222,294307,196087,191827,387914,809257,778473,1587730,875409,842506,1717915
Ladakh,1941,2400,4341,1835,2378,4213,9986,12184,22170,12122,14420,26542
Lakshadweep,909,895,1804,562,591,1153,5557,5459,11016,6208,6117,12325
Madhya Pradesh,658868,696376,1355244,376718,453930,830648,3911532,4178388,8089920,3929858,4198303,8128161
Maharashtra,120127,121226,241353,32809,37115,69924,2492681,2555506,5048187,2523551,2584993,5108544
Manipur,10767,11938,22705,10376,10999,21375,94516,95860,190376,103665,104387,208052
Meghalaya,4733,6358,11091,3353,4316,7669,169639,169909,339548,208646,205035,413681
Mizoram,7571,8413,15984,4138,5036,9174,51314,50028,101342,59856,58010,117866
Nagaland,7098,9453,16551,5099,6539,11638,51248,59108,110356,65079,72294,137373
Odisha,375857,379612,755469,67170,83706,150876,2517211,2527756,5044967,2517878,2528361,5046239
Puducherry,6589,7146,13735,5402,7156,12558,33276,36472,69748,36844,40151,76995
Punjab,204008,198497,402505,183589,182106,365695,1186072,1142494,2328566,1360179,1309280,2669459
Rajasthan,623173,720451,1343624,474691,561873,1036564,3620752,4118810,7739562,3641568,4140822,7782390
Sikkim,6863,7046,13909,5274,6298,11572,30234,30796,61030,33347,33716,67063
Tamil Nadu,425179,445806,870985,324604,407750,732354,2153827,2295103,4448930,2184313,2326319,4510632
Telangana,260601,288864,549465,118880,171633,290513,1236961,1386096,2623057,1240216,1389272,2629488
Tripura,36781,41925,78706,27678,31867,59545,230607,246067,476674,236579,251791,488370
Uttar Pradesh,176361,233414,409775,105921,163828,269749,7224653,7664062,14888715,7226710,7665745,14892455
Uttarakhand,66445,76129,142574,57396,70924,128320,377716,415305,793021,378324,415846,794170
West Bengal,1267897,1354896,2622793,629806,752355,1382161,6945066,7077430,14022496,7414482,7544545,14959027
