India/State/ UT,Enrolment – Government,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,1606664,1605238,3211902,28224118,28826242,57050360,16598329,17673827,34272156,44822447,46500069,91322516
Andaman and Nicobar Islands,2582,2566,5148,7031,6840,13871,5866,5690,11556,12897,12530,25427
Andhra Pradesh,17636,17901,35537,688957,755083,1444040,548447,623448,1171895,1237404,1378531,2615935
Arunachal Pradesh,3930,3979,7909,29861,33188,63049,19730,25397,45127,49591,58585,108176
Assam,124633,126868,251501,1144534,1171244,2315778,573105,671209,1244314,1717639,1842453,3560092
Bihar,682,525,1207,4074911,4191735,8266646,2244202,2452311,4696513,6319113,6644046,12963159
Chandigarh,7157,7091,14248,23014,21574,44588,21301,19505,40806,44315,41079,85394
Chhattisgarh,25722,26715,52437,813610,824949,1638559,533754,551246,1085000,1347364,1376195,2723559
"Dadra and Nagar Haveli andDaman and Diu",3764,3630,7394,19266,18854,38120,13023,12782,25805,32289,31636,63925
Delhi,50375,59401,109776,376583,404453,781036,355174,367135,722309,731757,771588,1503345
Goa,1352,1320,2672,11206,10634,21840,4199,3860,8059,15405,14494,29899
Gujarat,262480,257655,520135,1370551,1339788,2710339,943216,941333,1884549,2313767,2281121,4594888
Haryana,36219,40078,76297,399823,416279,816102,310578,329979,640557,710401,746258,1456659
Himachal Pradesh,35953,36480,72433,121833,122810,244643,99672,99460,199132,221505,222270,443775
Jammu and Kashmir,91791,94298,186089,253403,262785,516188,145625,149954,295579,399028,412739,811767
Jharkhand,19387,19451,38838,1171312,1181498,2352810,643372,692658,1336030,1814684,1874156,3688840
Karnataka,20272,20673,40945,1073549,1133856,2207405,674875,718520,1393395,1748424,1852376,3600800
Kerala,66152,64033,130185,268427,259725,528152,192658,184699,377357,461085,444424,905509
Ladakh,2136,2236,4372,4025,4587,8612,2185,2819,5004,6210,7406,13616
Lakshadweep,651,658,1309,2724,2530,5254,1362,1443,2805,4086,3973,8059
Madhya Pradesh,18326,19915,38241,1736697,1808781,3545478,1139249,1219301,2358550,2875946,3028082,5904028
Maharashtra,30870,29487,60357,1824460,1847475,3671935,515285,549690,1064975,2339745,2397165,4736910
Manipur,9149,8527,17676,56069,54357,110426,17304,18566,35870,73373,72923,146296
Meghalaya,39007,35126,74133,118970,111491,230461,42583,47744,90327,161553,159235,320788
Mizoram,8542,7982,16524,26080,24153,50233,13525,12426,25951,39605,36579,76184
Nagaland,13831,13186,27017,25830,26891,52721,13221,16225,29446,39051,43116,82167
Odisha,667,605,1272,1243225,1239157,2482382,830959,825281,1656240,2074184,2064438,4138622
Puducherry,3568,3679,7247,12187,12576,24763,9098,9594,18692,21285,22170,43455
Punjab,174107,166786,340893,490008,467585,957593,308467,294306,602773,798475,761891,1560366
Rajasthan,20816,22012,42828,1488810,1638390,3127200,1034078,1198096,2232174,2522888,2836486,5359374
Sikkim,3113,2920,6033,9779,8960,18739,8318,8492,16810,18097,17452,35549
Tamil Nadu,30486,31216,61702,779481,792499,1571980,624563,649048,1273611,1404044,1441547,2845591
Telangana,3255,3176,6431,460217,489793,950010,397263,435806,833069,857480,925599,1783079
Tripura,5972,5724,11696,99521,101684,201205,66627,70591,137218,166148,172275,338423
Uttar Pradesh,2057,1683,3740,4709701,4821810,9531511,2232670,2445010,4677680,6942371,7266820,14209191
Uttarakhand,608,541,1149,156069,160308,316377,97806,107944,205750,253875,268252,522127
West Bengal,469416,467115,936531,3132394,3057920,6190314,1914969,1912259,3827228,5047363,4970179,10017542
