India/State/ UT,Enrolment – Government Aided,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,3701940,3419790,7121730,2982446,2926500,5908946,12468394,11978777,24447171,12626564,12134962,24761526
Andaman and Nicobar Islands,196,179,375,210,257,467,868,857,1725,890,885,1775
Andhra Pradesh,8590,12360,20950,6942,7020,13962,45438,56210,101648,45684,56441,102125
Arunachal Pradesh,1403,1544,2947,392,521,913,9823,10536,20359,10404,11187,21591
Assam,24048,30237,54285,12235,13796,26031,63482,71253,134735,63791,71563,135354
Bihar,13378,17757,31135,9008,10680,19688,53189,64413,117602,53189,64416,117605
Chandigarh,731,611,1342,1759,1284,3043,4322,3750,8072,4584,4129,8713
Chhattisgarh,6997,7079,14076,4956,6442,11398,34391,34400,68791,34569,34587,69156
"Dadra and Nagar Haveli andDaman and Diu",815,744,1559,807,974,1781,3535,3373,6908,3668,3478,7146
Delhi,15154,13223,28377,12649,11548,24197,68256,66254,134510,68844,66852,135696
Goa,19670,18450,38120,15463,16717,32180,102047,98253,200300,110851,107332,218183
Gujarat,507231,456021,963252,261768,289096,550864,841811,806104,1647915,845333,809463,1654796
Haryana,147,287,434,116,445,561,510,1313,1823,510,1313,1823
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,7,8,15,0,0,0,57,71,128,78,94,172
Jharkhand,21707,27791,49498,6675,10888,17563,130319,154107,284426,136090,160282,296372
Karnataka,245252,232699,477951,105185,114637,219822,703678,676548,1380226,704369,677148,1381517
Kerala,252422,246735,499157,188285,195353,383638,1242476,1236552,2479028,1331535,1323559,2655094
Ladakh,18,22,40,0,0,0,449,259,708,449,264,713
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,13873,10859,24732,13220,11196,24416,46443,41744,88187,47428,42695,90123
Maharashtra,1271823,1154357,2426180,1036615,994582,2031197,4949080,4608358,9557438,4964778,4624447,9589225
Manipur,1715,1703,3418,438,341,779,11719,11721,23440,12589,12602,25191
Meghalaya,24752,32901,57653,8528,13056,21584,138242,155753,293995,162153,177748,339901
Mizoram,3962,4562,8524,2074,2563,4637,8782,10341,19123,8782,10341,19123
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,176889,169803,346692,219210,237702,456912,473389,476750,950139,473399,476755,950154
Puducherry,1536,2586,4122,631,1769,2400,6983,12804,19787,7631,13675,21306
Punjab,19472,14999,34471,26610,17926,44536,93537,75204,168741,96556,78306,174862
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,140,100,240,91,88,179,430,336,766,437,341,778
Tamil Nadu,210755,220701,431456,172580,214450,387030,937825,1018697,1956522,938831,1020229,1959060
Telangana,4308,8235,12543,2659,4191,6850,26724,44461,71185,27920,45872,73792
Tripura,3037,2108,5145,4921,3875,8796,15654,12305,27959,15718,12385,28103
Uttar Pradesh,824522,705694,1530216,840528,716091,1556619,2366910,2135721,4502631,2367256,2135992,4503248
Uttarakhand,24093,22043,46136,24303,25238,49541,73647,74771,148418,73672,74790,148462
West Bengal,3297,3392,6689,3588,3774,7362,14378,15558,29936,14576,15791,30367
