India/State/ UT,Enrolment – Government Aided,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,158170,156185,314355,2398102,2396571,4794673,3385906,3235916,6621822,5784008,5632487,11416495
Andaman and Nicobar Islands,22,28,50,268,227,495,194,194,388,462,421,883
Andhra Pradesh,246,231,477,15476,17790,33266,14430,19040,33470,29906,36830,66736
Arunachal Pradesh,581,651,1232,4976,5434,10410,3052,3037,6089,8028,8471,16499
Assam,309,310,619,1109,1130,2239,26090,26090,52180,27199,27220,54419
Bihar,0,3,3,14182,15526,29708,16621,20450,37071,30803,35976,66779
Chandigarh,262,379,641,968,1062,2030,864,793,1657,1832,1855,3687
Chhattisgarh,178,187,365,12500,11651,24151,9938,9228,19166,22438,20879,43317
"Dadra and Nagar Haveli andDaman and Diu",133,105,238,689,569,1258,1224,1086,2310,1913,1655,3568
Delhi,588,598,1186,16503,20427,36930,23950,21056,45006,40453,41483,81936
Goa,8804,9079,17883,36180,34201,70381,30734,28885,59619,66914,63086,130000
Gujarat,3522,3359,6881,22543,20773,43316,50269,40214,90483,72812,60987,133799
Haryana,0,0,0,127,233,360,120,348,468,247,581,828
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,21,23,44,34,47,81,16,16,32,50,63,113
Jharkhand,5771,6175,11946,61006,67574,128580,40931,47854,88785,101937,115428,217365
Karnataka,691,600,1291,168137,163142,331279,185104,166070,351174,353241,329212,682453
Kerala,89059,87007,176066,439946,435772,875718,361823,358692,720515,801769,794464,1596233
Ladakh,0,5,5,353,178,531,78,59,137,431,237,668
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,985,951,1936,10704,11560,22264,8646,8129,16775,19350,19689,39039
Maharashtra,15698,16089,31787,1134342,1080460,2214802,1506300,1378959,2885259,2640642,2459419,5100061
Manipur,870,881,1751,7139,7077,14216,2427,2600,5027,9566,9677,19243
Meghalaya,23911,21995,45906,64853,62744,127597,40109,47052,87161,104962,109796,214758
Mizoram,0,0,0,688,736,1424,2058,2480,4538,2746,3216,5962
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,10,5,15,13618,12295,25913,63672,56950,120622,77290,69245,146535
Puducherry,648,871,1519,2428,4478,6906,2388,3971,6359,4816,8449,13265
Punjab,3019,3102,6121,23127,21644,44771,24328,20635,44963,47455,42279,89734
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,7,5,12,24,10,34,175,138,313,199,148,347
Tamil Nadu,1006,1532,2538,260525,278164,538689,293965,305382,599347,554490,583546,1138036
Telangana,1196,1411,2607,12345,19024,31369,7412,13011,20423,19757,32035,51792
Tripura,64,80,144,3823,3463,7286,3873,2859,6732,7696,6322,14018
Uttar Pradesh,346,271,617,63643,90343,153986,638217,623593,1261810,701860,713936,1415796
Uttarakhand,25,19,44,2115,4467,6582,23136,23023,46159,25251,27490,52741
West Bengal,198,233,431,3731,4370,8101,3762,4022,7784,7493,8392,15885
