India/State/ UT,Enrolment – Private Unaided Recognized,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,7344262,5791734,13135996,5958681,5113621,11072302,47794940,37907107,85702047,53357460,42499250,95856710
Andaman and Nicobar Islands,1272,1126,2398,704,800,1504,9048,8461,17509,11409,10700,22109
Andhra Pradesh,326278,243321,569599,411487,389305,800792,2314139,1874510,4188649,2592718,2109187,4701905
Arunachal Pradesh,4896,3860,8756,1938,1883,3821,56601,45103,101704,69203,56119,125322
Assam,131076,121105,252181,94649,99084,193733,907572,796357,1703929,1036574,904605,1941179
Bihar,209561,145500,355061,102153,76780,178933,1603241,1031519,2634760,1790606,1152511,2943117
Chandigarh,7409,6163,13572,7536,6137,13673,43376,36535,79911,51491,44208,95699
Chhattisgarh,102574,84160,186734,69661,67245,136906,797001,683194,1480195,1026954,887377,1914331
"Dadra and Nagar Haveli andDaman and Diu",2798,2121,4919,1986,1555,3541,21487,16259,37746,24836,18985,43821
Delhi,125304,84642,209946,114714,82984,197698,975694,708405,1684099,1085808,800135,1885943
Goa,1335,1276,2611,1141,1081,2222,17358,15117,32475,22030,19116,41146
Gujarat,347230,232555,579785,255385,197918,453303,2332298,1731302,4063600,2562235,1914806,4477041
Haryana,314532,221416,535948,228923,174687,403610,1823416,1348903,3172319,1994791,1489602,3484393
Himachal Pradesh,44203,34177,78380,28210,22825,51035,277624,224197,501821,343223,279849,623072
Jammu and Kashmir,77770,63157,140927,29292,24153,53445,541134,447700,988834,685099,570239,1255338
Jharkhand,178164,148037,326201,166996,143714,310710,710073,557143,1267216,764397,598904,1363301
Karnataka,437578,366676,804254,347303,370120,717423,2916037,2523853,5439890,3035854,2628033,5663887
Kerala,95697,92553,188250,57967,59337,117304,733631,685868,1419499,872422,815754,1688176
Ladakh,1642,1624,3266,438,478,916,12191,11065,23256,15710,14142,29852
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,440797,323184,763981,294649,230771,525420,3173330,2438831,5612161,3891122,3024261,6915383
Maharashtra,534712,408771,943483,372703,305357,678060,3507218,2806730,6313948,3626262,2909730,6535992
Manipur,31032,30121,61153,21239,21196,42435,191295,179465,370760,223085,208071,431156
Meghalaya,15778,20227,36005,9690,11906,21596,103729,111563,215292,130967,138014,268981
Mizoram,6406,6491,12897,4784,5109,9893,56351,55723,112074,68347,67436,135783
Nagaland,18990,18431,37421,12058,12974,25032,119175,110295,229470,144122,132926,277048
Odisha,84133,66449,150582,158254,148396,306650,816616,663058,1479674,861698,698830,1560528
Puducherry,11407,9116,20523,10858,8972,19830,68446,55383,123829,78331,64059,142390
Punjab,212517,168858,381375,168120,140140,308260,1379675,1107698,2487373,1693930,1369077,3063007
Rajasthan,686314,431360,1117674,556781,360605,917386,4402984,3069239,7472223,4949193,3502363,8451556
Sikkim,1613,1543,3156,666,909,1575,18150,16860,35010,25851,23884,49735
Tamil Nadu,397583,318843,716426,351077,299698,650775,2722200,2286722,5008922,3258637,2767489,6026126
Telangana,324725,266571,591296,259505,238426,497931,2257069,1919051,4176120,2568459,2183965,4752424
Tripura,9128,7659,16787,5702,5090,10792,69434,58413,127847,87372,74172,161544
Uttar Pradesh,1985571,1724313,3709884,1686056,1502928,3188984,11517491,9234588,20752079,12293125,9828928,22122053
Uttarakhand,98660,74091,172751,81742,62841,144583,681966,534988,1216954,794621,628887,1423508
West Bengal,75577,62237,137814,44314,38217,82531,617890,513009,1130899,676978,562886,1239864
