India/State/ UT,Enrolment – Private Unaided Recognized,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,5562520,4592143,10154663,22188269,17624416,39812685,12303728,9377336,21681064,34491997,27001752,61493749
Andaman and Nicobar Islands,2361,2239,4600,4606,4266,8872,2466,2269,4735,7072,6535,13607
Andhra Pradesh,278579,234677,513256,986287,801729,1788016,590087,440155,1030242,1576374,1241884,2818258
Arunachal Pradesh,12602,11016,23618,35542,29378,64920,14225,9982,24207,49767,39360,89127
Assam,129002,108248,237250,452427,377544,829971,229420,198624,428044,681847,576168,1258015
Bihar,187365,120992,308357,862006,538160,1400166,429521,271079,700600,1291527,809239,2100766
Chandigarh,8115,7673,15788,17154,14893,32047,11277,9342,20619,28431,24235,52666
Chhattisgarh,229953,204183,434136,419028,360814,779842,205738,170975,376713,624766,531789,1156555
"Dadra and Nagar Haveli andDaman and Diu",3349,2726,6075,11568,8934,20502,5135,3649,8784,16703,12583,29286
Delhi,110114,91730,201844,483307,370148,853455,252369,170631,423000,735676,540779,1276455
Goa,4672,3999,8671,12257,10368,22625,2625,2392,5017,14882,12760,27642
Gujarat,229937,183504,413441,1024712,788001,1812713,704971,512828,1217799,1729683,1300829,3030512
Haryana,171375,140699,312074,776741,599166,1375907,503220,353634,856854,1279961,952800,2232761
Himachal Pradesh,65599,55652,121251,131018,108793,239811,74193,58402,132595,205211,167195,372406
Jammu and Kashmir,143965,122539,266504,283463,238411,521874,150609,121979,272588,434072,360390,794462
Jharkhand,54324,41761,96085,209180,152711,361891,155733,112681,268414,364913,265392,630305
Karnataka,119817,104180,223997,1380410,1163432,2543842,750746,623625,1374371,2131156,1787057,3918213
Kerala,138791,129886,268677,388693,359588,748281,191274,174390,365664,579967,533978,1113945
Ladakh,3519,3077,6596,6852,6041,12893,3259,2922,6181,10111,8963,19074
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,717792,585430,1303222,1545095,1212595,2757690,892789,672281,1565070,2437884,1884876,4322760
Maharashtra,119044,103000,222044,1760088,1444246,3204334,839715,648356,1488071,2599803,2092602,4692405
Manipur,31790,28606,60396,86701,79477,166178,52323,48671,100994,139024,128148,267172
Meghalaya,27238,26451,53689,61235,61061,122296,17026,18369,35395,78261,79430,157691
Mizoram,11996,11713,23709,30989,30167,61156,14172,13956,28128,45161,44123,89284
Nagaland,24947,22631,47578,57802,51728,109530,30325,27162,57487,88127,78890,167017
Odisha,45082,35772,80854,388988,310194,699182,185241,138019,323260,574229,448213,1022442
Puducherry,9885,8676,18561,28180,23366,51546,18001,13929,31930,46181,37295,83476
Punjab,314255,261379,575634,631259,513966,1145225,367779,284734,652513,999038,798700,1797738
Rajasthan,546209,433124,979333,2001305,1494370,3495675,1158584,782904,1941488,3159889,2277274,5437163
Sikkim,7701,7024,14725,11613,10623,22236,4258,3785,8043,15871,14408,30279
Tamil Nadu,536437,480767,1017204,1306314,1138136,2444450,667226,530045,1197271,1973540,1668181,3641721
Telangana,311390,264914,576304,1109466,956747,2066213,563373,457307,1020680,1672839,1414054,3086893
Tripura,17938,15759,33697,36888,30930,67818,17716,14734,32450,54604,45664,100268
Uttar Pradesh,775634,594340,1369974,4991364,3792321,8783685,2854500,2215026,5069526,7845864,6007347,13853211
Uttarakhand,112655,93899,206554,323747,263180,586927,177817,134876,312693,501564,398056,899620
West Bengal,59088,49877,108965,331984,278932,610916,166015,133623,299638,497999,412555,910554
