India/State/ UT,Gross Enrolment Ratio (GER) – All Social Groups,,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,89.6,92.3,90.9,88.3,92.5,90.3,89.1,92.4,90.6,77.3,80.2,78.7,56.2,60.9,58.4
Andaman and Nicobar Islands,85.1,85.2,85.1,89.4,95.0,92.1,86.8,89.0,87.9,90.3,94.6,92.3,75.5,97.9,85.8
Andhra Pradesh,91.3,92.6,91.9,100.1,102.0,101.0,94.7,96.2,95.4,89.1,89.6,89.4,64.4,71.3,67.8
Arunachal Pradesh,112.2,114.1,113.2,83.4,90.5,86.9,100.3,104.4,102.3,66.1,72.7,69.3,41.6,45.8,43.7
Assam,105.5,111.0,108.1,84.6,98.2,91.1,97.3,106.0,101.5,70.1,89.7,79.6,39.8,47.4,43.5
Bihar,75.7,78.9,77.2,65.9,72.2,68.9,71.9,76.3,74.0,47.7,54.8,51.1,35.9,40.4,38.1
Chandigarh,90.6,97.4,93.7,112.0,131.2,120.3,99.1,109.9,103.9,103.5,118.7,110.1,96.5,122.8,107.4
Chhattisgarh,88.5,89.9,89.2,89.6,93.0,91.3,89.0,91.1,90.0,73.7,81.5,77.5,46.5,60.8,53.5
"Dadra and Nagar Haveli and Damanand Diu",108.3,109.1,108.7,107.3,117.3,111.8,107.9,112.1,109.9,97.6,114.3,104.9,52.1,94.8,68.4
Delhi,97.4,107.2,101.8,113.1,122.0,117.1,103.4,112.8,107.7,98.0,104.7,101.1,78.7,87.2,82.7
Goa,118.9,116.5,117.8,112.6,120.3,116.2,116.4,118.0,117.1,105.2,110.1,107.5,86.0,102.6,93.8
Gujarat,77.7,81.9,79.6,90.9,95.1,92.8,82.6,86.9,84.6,76.0,73.3,74.7,45.2,49.7,47.3
Haryana,90.0,93.5,91.6,100.8,104.6,102.5,94.1,97.6,95.7,90.3,90.2,90.3,69.2,74.7,71.7
Himachal Pradesh,98.8,100.3,99.5,101.4,105.4,103.2,99.8,102.3,101.0,100.9,104.5,102.6,81.1,88.7,84.7
Jammu and Kashmir,112.9,114.5,113.7,74.9,80.0,77.3,95.7,99.4,97.4,64.8,67.5,66.1,43.3,46.6,44.8
Jharkhand,91.9,93.1,92.5,81.2,85.3,83.1,87.7,90.0,88.8,69.6,75.8,72.6,46.4,50.9,48.6
Karnataka,103.4,105.7,104.5,101.8,103.9,102.8,102.8,105.0,103.8,100.6,102.0,101.3,54.3,68.8,61.4
Kerala,93.0,93.3,93.2,97.8,100.1,98.9,94.9,95.9,95.4,98.1,99.4,98.7,87.3,91.7,89.5
Ladakh,107.9,107.7,107.8,76.8,93.0,84.3,95.2,102.1,98.5,76.5,88.8,82.6,49.3,66.8,57.7
Lakshadweep,103.3,99.8,101.6,80.9,81.3,81.1,94.6,92.2,93.4,77.9,81.1,79.5,50.4,51.8,51.1
Madhya Pradesh,76.2,76.4,76.3,81.1,82.7,81.8,78.0,78.7,78.3,68.2,68.2,68.2,43.2,46.9,45.0
Maharashtra,101.2,108.2,104.5,94.5,98.9,96.5,98.6,104.6,101.4,93.8,93.4,93.6,69.5,72.1,70.8
Manipur,138.9,142.3,140.5,90.2,95.6,92.8,118.3,122.6,120.4,76.5,81.2,78.8,57.8,59.3,58.5
Meghalaya,179.3,182.2,180.7,105.0,126.8,115.6,149.1,159.7,154.3,72.9,100.1,86.2,33.0,46.5,39.7
Mizoram,137.2,139.0,138.0,101.9,106.9,104.3,122.8,126.0,124.3,89.1,102.2,95.5,49.2,58.8,53.9
Nagaland,93.9,97.1,95.4,67.1,75.2,71.0,82.6,88.0,85.2,56.9,67.2,61.8,36.5,43.4,39.8
Odisha,93.1,93.3,93.2,94.8,96.4,95.5,93.8,94.5,94.1,83.1,85.0,84.0,57.9,63.7,60.7
Puducherry,92.9,93.1,93.0,96.1,101.4,98.6,94.2,96.3,95.2,94.5,102.2,98.1,87.2,104.9,95.5
Punjab,105.1,106.2,105.6,100.0,103.2,101.5,103.1,105.0,104.0,90.3,95.3,92.6,76.7,82.9,79.5
Rajasthan,87.2,89.7,88.3,90.9,93.5,92.1,88.6,91.1,89.7,83.1,81.2,82.2,67.0,65.1,66.1
Sikkim,99.2,95.6,97.4,74.3,77.5,75.8,88.1,87.6,87.9,70.5,73.6,72.0,44.4,54.9,49.6
Tamil Nadu,90.3,93.1,91.6,96.4,98.9,97.6,92.7,95.4,93.9,94.4,96.6,95.5,78.0,89.1,83.4
Telangana,112.5,115.6,114.0,109.9,113.5,111.6,111.5,114.8,113.1,98.4,101.5,99.9,63.0,72.4,67.6
Tripura,116.1,119.8,117.9,96.4,103.7,99.9,107.7,113.0,110.2,75.8,85.0,80.2,52.4,60.8,56.4
Uttar Pradesh,82.3,83.9,83.1,81.8,86.3,83.9,82.1,84.8,83.4,64.3,64.3,64.3,57.6,57.2,57.4
Uttarakhand,107.1,113.3,109.9,101.0,107.2,103.9,104.7,110.9,107.6,91.2,96.0,93.4,77.4,84.9,80.9
West Bengal,105.6,107.7,106.6,99.1,103.8,101.4,103.0,106.1,104.5,94.2,104.8,99.4,46.1,57.2,51.5
