India/State/ UT,Percentage of all minority groups’ enrolment to total enrolment,,,,,,,,,,,,,,,,,
"","Primary(1 to 5)","Upper Primary(6 to 8)","Elementary(1 to 8)","Secondary(9-10)","Higher Secondary(11-12)","Primary to HigherSecondary",,,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3 ),(4 ),(5 ),(6 ),(7 ),(8 ),(9 ),(1 0),(1 1),(1 2),(1 3),(1 4),(1 5),(1 6),(1 7),(1 8),(1 9)
India,21.3,21.8,21.5,18.7,19.8,19.2,20.3,21.1,20.7,17.5,19.4,18.4,15.8,17.5,16.7,19.3,20.4,19.8
Andaman and Nicobar Islands,33.4,33.6,33.5,32.1,32.3,32.2,32.9,33.0,33.0,30.5,31.0,30.8,28.8,30.1,29.5,31.8,32.2,32.0
Andhra Pradesh,10.2,10.2,10.2,9.4,9.6,9.5,9.9,10.0,9.9,8.5,8.8,8.7,8.1,8.1,8.1,9.4,9.5,9.5
Arunachal Pradesh,50.9,51.4,51.1,49.7,49.9,49.8,50.5,50.8,50.7,48.8,49.2,49.0,46.0,48.0,47.0,49.8,50.3,50.1
Assam,48.9,49.2,49.0,42.3,46.7,44.6,46.7,48.3,47.5,36.3,43.7,40.3,31.7,36.0,34.0,43.9,46.4,45.2
Bihar,19.6,21.0,20.2,16.8,19.1,18.0,18.6,20.3,19.4,13.3,16.0,14.7,13.6,15.7,14.7,17.4,19.2,18.3
Chandigarh,14.8,14.7,14.7,14.6,14.7,14.6,14.7,14.7,14.7,15.5,15.6,15.6,17.0,17.5,17.2,15.2,15.4,15.3
Chhattisgarh,3.4,3.4,3.4,3.2,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.6,3.5,3.5,3.3,3.3,3.3
"Dadra and Nagar Haveli andDaman and Diu",6.8,6.5,6.6,6.4,6.1,6.2,6.6,6.3,6.5,6.3,5.5,6.0,5.5,5.5,5.5,6.5,6.1,6.3
Delhi,16.9,18.3,17.5,16.1,18.4,17.2,16.5,18.3,17.4,14.4,17.2,15.7,12.2,15.8,14.0,15.6,17.7,16.6
Goa,27.7,28.2,27.9,28.3,29.2,28.7,27.9,28.6,28.2,29.4,30.1,29.7,29.6,31.0,30.3,28.4,29.2,28.8
Gujarat,11.8,12.4,12.1,11.3,11.8,11.5,11.6,12.2,11.9,10.2,10.6,10.4,8.5,9.1,8.8,11.1,11.6,11.3
Haryana,14.1,14.5,14.3,13.1,13.5,13.3,13.7,14.1,13.9,9.6,8.4,9.1,8.1,6.9,7.5,12.3,12.2,12.2
Himachal Pradesh,4.7,4.7,4.7,4.3,4.2,4.3,4.6,4.5,4.5,4.0,4.0,4.0,3.3,3.4,3.3,4.3,4.2,4.2
Jammu and Kashmir,71.5,72.8,72.1,66.8,68.7,67.7,69.8,71.4,70.6,64.7,67.3,65.9,64.4,65.7,65.0,68.4,70.1,69.2
Jharkhand,20.3,21.2,20.7,18.8,20.2,19.5,19.7,20.8,20.3,15.7,18.5,17.1,12.2,14.5,13.4,18.4,19.8,19.1
Karnataka,19.1,19.6,19.4,18.0,18.5,18.2,18.7,19.2,18.9,16.9,17.6,17.3,14.0,15.7,14.9,17.9,18.5,18.2
Kerala,55.1,55.2,55.1,53.5,53.9,53.7,54.5,54.7,54.6,53.3,53.5,53.4,51.2,51.7,51.4,53.7,54.0,53.9
Ladakh,96.4,96.4,96.4,97.3,97.4,97.3,96.7,96.8,96.7,98.7,98.3,98.5,98.5,98.9,98.8,97.2,97.3,97.2
Lakshadweep,99.5,99.5,99.5,99.8,99.8,99.8,99.6,99.6,99.6,99.9,99.9,99.9,98.9,99.8,99.4,99.6,99.7,99.6
Madhya Pradesh,7.6,7.8,7.7,6.7,7.1,6.9,7.3,7.5,7.4,5.6,6.4,6.0,5.1,6.1,5.6,6.8,7.2,7.0
Maharashtra,19.6,20.3,20.0,18.1,19.0,18.5,19.0,19.8,19.4,16.9,18.5,17.6,15.3,17.0,16.1,18.2,19.2,18.7
Manipur,55.9,56.5,56.2,47.4,47.8,47.6,53.2,53.7,53.4,45.8,46.7,46.3,40.1,41.9,41.0,50.7,51.3,51.0
Meghalaya,87.5,87.3,87.4,85.7,86.4,86.0,87.0,87.0,87.0,84.8,86.0,85.5,82.8,85.2,84.2,86.5,86.8,86.6
Mizoram,99.0,99.1,99.0,98.7,98.9,98.8,98.9,99.0,99.0,98.5,98.9,98.7,98.4,98.9,98.7,98.8,99.0,98.9
Nagaland,90.7,91.1,90.9,90.9,91.5,91.2,90.8,91.3,91.0,91.1,92.5,91.8,92.5,93.3,92.9,91.0,91.7,91.3
Odisha,5.7,5.8,5.8,5.5,5.6,5.6,5.7,5.7,5.7,5.2,5.6,5.4,4.6,4.9,4.8,5.5,5.6,5.5
Puducherry,13.7,14.0,13.8,13.7,13.9,13.8,13.7,14.0,13.8,13.4,13.5,13.5,13.8,13.8,13.8,13.7,13.9,13.8
Punjab,54.6,53.9,54.3,58.1,57.4,57.8,55.9,55.2,55.6,59.8,59.0,59.5,60.8,59.5,60.2,57.3,56.5,56.9
Rajasthan,9.6,9.8,9.7,7.3,7.6,7.4,8.7,8.9,8.8,5.9,6.2,6.0,4.7,5.1,4.9,7.7,8.0,7.9
Sikkim,40.1,38.9,39.5,37.9,39.0,38.5,39.3,38.9,39.1,37.6,40.0,38.8,35.6,39.7,37.8,38.6,39.2,38.9
Tamil Nadu,13.0,13.3,13.2,12.8,13.3,13.0,12.9,13.3,13.1,12.8,13.2,13.0,13.4,13.3,13.3,13.0,13.3,13.1
Telangana,17.6,18.3,17.9,15.9,16.9,16.4,17.0,17.8,17.4,15.9,17.2,16.5,14.3,15.4,14.9,16.5,17.4,16.9
Tripura,21.4,21.2,21.3,18.1,19.1,18.6,20.1,20.4,20.3,15.3,17.0,16.2,13.4,14.4,13.9,18.6,19.1,18.9
Uttar Pradesh,20.5,20.8,20.6,16.3,16.9,16.6,19.0,19.3,19.2,14.5,15.6,15.0,12.7,14.0,13.3,17.6,18.2,17.9
Uttarakhand,22.7,23.0,22.8,17.2,18.6,17.8,20.6,21.3,21.0,12.6,15.0,13.7,9.9,12.4,11.1,17.8,18.9,18.3
West Bengal,39.3,39.8,39.5,36.1,37.4,36.8,38.1,38.9,38.5,33.7,38.1,36.0,28.6,37.2,33.3,36.5,38.5,37.5
