India/State /UT,Promotion Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,96.2,97.5,96.8,94.1,95.6,94.8,81.7,86.3,83.9
Andaman and Nicobar Islands,98.9,99.5,99.2,97.5,98.1,97.8,89.9,95.2,92.5
Andhra Pradesh,94.7,96.3,95.5,94.3,96.8,95.5,81.0,87.1,83.9
Arunachal Pradesh,83.1,84.7,83.9,85.2,85.6,85.4,70.3,73.0,71.7
Assam,94.5,96.5,95.5,92.2,96.1,94.3,75.4,76.2,75.8
Bihar,88.2,91.8,89.9,82.8,88.3,85.5,86.0,86.2,86.1
Chandigarh,98.8,99.5,99.1,98.8,99.9,99.3,92.2,96.0,94.0
Chhattisgarh,97.1,98.1,97.6,95.1,97.1,96.1,70.9,82.6,76.9
Dadra and Nagar Haveli and Daman and Diu,99.7,100.0,99.9,96.6,98.4,97.5,76.2,88.0,81.8
Delhi,100.0,100.0,100.0,94.4,96.2,95.2,81.1,84.8,82.8
Goa,98.6,99.0,98.8,98.6,98.8,98.7,81.4,90.2,85.6
Gujarat,97.9,98.6,98.2,93.9,93.1,93.5,78.5,84.1,81.0
Haryana,100.0,100.0,100.0,97.2,98.8,97.9,88.7,94.2,91.2
Himachal Pradesh,99.1,99.5,99.3,98.9,99.5,99.2,88.4,92.3,90.3
Jammu and Kashmir,94.2,95.2,94.7,95.1,95.3,95.2,83.7,85.6,84.6
Jharkhand,95.4,97.7,96.5,92.7,96.4,94.5,89.7,92.9,91.3
Karnataka,98.5,99.4,99.0,97.1,98.2,97.7,74.7,83.5,79.0
Kerala,98.2,98.6,98.4,99.0,99.4,99.2,93.8,96.1,94.9
Ladakh,92.5,95.1,93.8,92.8,95.1,94.0,76.7,82.2,79.6
Lakshadweep,99.0,99.6,99.3,96.9,98.4,97.7,93.1,94.2,93.6
Madhya Pradesh,94.7,96.2,95.4,89.6,91.1,90.3,69.6,76.2,72.8
Maharashtra,100.0,100.0,100.0,99.4,99.3,99.3,85.8,88.7,87.2
Manipur,90.4,91.4,90.9,94.3,95.5,94.9,86.1,87.4,86.7
Meghalaya,77.6,82.8,80.2,73.4,80.2,77.0,58.4,62.0,60.5
Mizoram,76.3,77.4,76.8,80.0,84.5,82.2,65.1,69.3,67.3
Nagaland,86.5,88.8,87.6,83.9,87.7,85.8,73.0,76.1,74.6
Odisha,97.8,98.7,98.2,95.8,97.0,96.4,81.4,86.6,83.9
Puducherry,99.7,99.9,99.8,99.8,100.0,99.9,89.4,96.0,92.6
Punjab,95.2,95.9,95.6,95.5,96.5,96.0,91.3,93.9,92.5
Rajasthan,92.9,93.9,93.4,95.4,95.7,95.6,86.6,89.2,87.8
Sikkim,91.0,94.4,92.6,90.0,93.5,91.7,74.4,83.7,79.1
Tamil Nadu,95.8,96.5,96.1,96.3,97.3,96.8,87.1,94.1,90.5
Telangana,99.6,100.0,100.0,99.1,100.0,99.5,84.1,89.0,86.5
Tripura,97.6,98.2,97.9,93.8,96.4,95.1,82.6,85.8,84.2
Uttar Pradesh,98.4,99.3,98.8,94.4,94.6,94.5,87.0,92.0,89.3
Uttarakhand,98.1,98.9,98.5,97.8,99.0,98.3,90.1,94.7,92.3
West Bengal,98.1,99.0,98.6,95.6,98.5,97.0,61.6,70.6,66.2
