India/State /UT,Repetition Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,3.0,2.5,2.9,1.8,1.6,1.7,5.0,4.1,4.6
Andaman and Nicobar Islands,0.6,0.4,0.5,1.1,1.1,1.1,2.9,1.3,2.1
Andhra Pradesh,3.5,2.7,3.1,1.0,0.6,0.8,0.6,0.4,0.5
Arunachal Pradesh,11.7,10.8,11.2,9.9,9.1,9.5,10.7,9.3,10.0
Assam,0.7,0.6,0.7,0.8,0.6,0.7,6.1,7.1,6.6
Bihar,7.3,7.0,7.2,5.4,5.1,5.3,6.9,7.0,7.0
Chandigarh,0.7,0.5,0.6,0.3,0.1,0.3,5.0,2.9,4.0
Chhattisgarh,1.9,1.5,1.7,0.6,0.4,0.5,9.9,5.8,7.8
Dadra and Nagar Haveli and Daman and Diu,0.3,0.0,0.1,1.1,0.8,1.0,7.7,3.4,5.7
Delhi,0.0,0.0,0.0,4.3,3.6,4.0,9.8,9.4,9.6
Goa,1.1,0.8,0.9,0.6,0.4,0.5,6.4,3.5,5.0
Gujarat,1.7,1.4,1.6,0.8,0.6,0.7,2.6,1.3,2.0
Haryana,0.0,0.0,0.0,0.4,0.3,0.4,2.6,1.7,2.2
Himachal Pradesh,0.9,0.5,0.7,0.3,0.2,0.3,4.2,2.8,3.6
Jammu and Kashmir,3.8,3.7,3.8,1.8,1.5,1.6,2.7,2.3,2.5
Jharkhand,4.6,2.3,3.5,4.0,3.6,3.8,5.6,4.7,5.2
Karnataka,1.1,0.6,1.0,0.3,0.2,0.2,3.4,2.0,2.7
Kerala,0.9,0.8,0.8,0.5,0.3,0.4,0.3,0.2,0.3
Ladakh,3.8,3.4,3.6,1.9,1.2,1.5,5.0,3.5,4.2
Lakshadweep,0.1,0.1,0.1,0.0,0.1,0.0,3.7,0.7,2.2
Madhya Pradesh,4.7,3.8,4.5,3.7,3.0,3.3,11.5,9.2,10.4
Maharashtra,0.0,0.0,0.0,0.1,0.1,0.1,1.6,1.0,1.3
Manipur,6.4,6.0,6.2,4.7,4.2,4.4,4.3,4.0,4.2
Meghalaya,17.3,13.9,15.6,16.8,13.8,15.2,23.2,21.4,22.2
Mizoram,12.9,11.8,12.4,7.2,5.2,6.2,16.0,14.7,15.3
Nagaland,10.4,8.6,9.5,10.5,8.5,9.5,13.9,12.7,13.3
Odisha,1.2,1.0,1.1,0.5,0.4,0.4,1.3,0.9,1.1
Puducherry,0.3,0.1,0.2,0.2,0.0,0.1,1.9,1.0,1.4
Punjab,2.0,1.8,1.9,1.5,1.1,1.3,1.7,0.9,1.3
Rajasthan,3.1,2.8,3.0,1.0,0.7,0.9,5.3,3.6,4.5
Sikkim,6.7,5.0,5.9,6.3,4.9,5.6,11.2,7.9,9.5
Tamil Nadu,1.3,1.1,1.2,0.5,0.3,0.4,1.3,0.6,1.0
Telangana,0.4,0.0,0.0,0.5,0.0,0.5,0.3,0.3,0.3
Tripura,2.4,1.8,2.1,2.1,1.4,1.7,5.0,4.0,4.5
Uttar Pradesh,1.6,0.7,1.2,2.6,2.3,2.5,4.3,2.8,3.6
Uttarakhand,0.7,0.6,0.7,0.2,0.2,0.2,3.9,2.3,3.1
West Bengal,0.1,0.1,0.1,0.0,0.0,0.0,15.0,12.7,13.8
