India/State /UT,Dropout Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,0.8,0.0,0.3,4.1,2.9,3.5,13.3,9.6,11.5
Andaman and Nicobar Islands,0.5,0.1,0.3,1.4,0.8,1.1,7.3,3.5,5.4
Andhra Pradesh,1.8,1.0,1.4,4.7,2.6,3.7,18.4,12.5,15.5
Arunachal Pradesh,5.2,4.5,4.8,4.9,5.3,5.1,19.0,17.7,18.3
Assam,4.7,2.9,3.8,7.0,3.2,5.0,18.5,16.7,17.5
Bihar,4.5,1.2,2.9,11.9,6.6,9.3,7.0,6.8,6.9
Chandigarh,0.5,0.0,0.2,0.9,0.0,0.4,2.8,1.1,2.0
Chhattisgarh,1.1,0.4,0.7,4.2,2.5,3.4,19.2,11.6,15.3
Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0.0,2.3,0.8,1.6,16.1,8.6,12.5
Delhi,0.0,0.0,0.0,1.3,0.2,0.8,9.1,5.8,7.5
Goa,0.3,0.2,0.3,0.8,0.8,0.8,12.2,6.3,9.3
Gujarat,0.4,0.0,0.2,5.4,6.3,5.8,18.8,14.6,16.9
Haryana,0.0,0.0,0.0,2.4,0.9,1.7,8.7,4.1,6.6
Himachal Pradesh,0.0,0.0,0.0,0.8,0.3,0.5,7.4,4.8,6.2
Jammu and Kashmir,1.9,1.1,1.5,3.1,3.2,3.2,13.6,12.2,12.9
Jharkhand,0.0,0.0,0.0,3.3,0.0,1.7,4.6,2.4,3.5
Karnataka,0.3,0.0,0.0,2.6,1.6,2.1,21.9,14.6,18.3
Kerala,0.9,0.7,0.8,0.6,0.3,0.4,5.8,3.7,4.8
Ladakh,3.7,1.5,2.6,5.3,3.7,4.5,18.3,14.4,16.2
Lakshadweep,0.9,0.4,0.6,3.1,1.5,2.3,3.2,5.0,4.1
Madhya Pradesh,0.6,0.0,0.0,6.7,5.9,6.3,18.9,14.6,16.8
Maharashtra,0.0,0.0,0.0,0.5,0.6,0.6,12.6,10.3,11.5
Manipur,3.2,2.6,2.9,1.0,0.3,0.6,9.6,8.6,9.1
Meghalaya,5.1,3.2,4.2,9.9,6.0,7.8,18.4,16.6,17.4
Mizoram,10.8,10.7,10.8,12.8,10.3,11.6,18.9,16.0,17.4
Nagaland,3.1,2.5,2.8,5.6,3.8,4.7,13.0,11.2,12.1
Odisha,1.0,0.3,0.7,3.7,2.6,3.2,17.3,12.6,15.0
Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,8.7,3.1,5.9
Punjab,2.7,2.3,2.5,3.0,2.4,2.7,7.0,5.2,6.2
Rajasthan,3.9,3.3,3.6,3.5,3.6,3.6,8.1,7.1,7.7
Sikkim,2.4,0.6,1.5,3.7,1.6,2.7,14.4,8.4,11.4
Tamil Nadu,2.9,2.5,2.7,3.2,2.4,2.8,11.6,5.3,8.5
Telangana,0.0,0.0,0.0,0.3,0.0,0.0,15.6,10.7,13.2
Tripura,0.0,0.0,0.0,4.1,2.3,3.2,12.3,10.2,11.3
Uttar Pradesh,0.0,0.0,0.0,2.9,3.1,3.0,8.7,5.1,7.0
Uttarakhand,1.2,0.5,0.9,2.0,0.8,1.4,6.0,3.0,4.6
West Bengal,1.8,1.0,1.4,4.4,1.5,3.0,23.4,16.7,20.0
