India/State/ UT,Transition Rate,,,,,,,,
"",Primary to Upper Primary (5 to 6),Upper Primary to Secondary (8 to 9),Secondary to Higher Secondary (10 to 11),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,91.5,93.0,92.2,85.9,87.3,86.6,72.4,77.9,75.1
Andaman and Nicobar Islands,98.1,99.3,98.7,97.1,97.1,97.1,89.4,95.5,92.5
Andhra Pradesh,93.7,95.2,94.5,92.3,96.2,94.2,71.4,80.9,76.0
Arunachal Pradesh,88.0,92.9,90.4,82.7,83.9,83.3,59.7,61.6,60.7
Assam,87.8,92.8,90.3,84.4,89.9,87.3,62.0,61.0,61.4
Bihar,69.7,74.0,71.8,64.4,68.9,66.7,65.6,66.0,65.8
Chandigarh,100.0,100.0,100.0,98.4,99.8,99.0,100.0,100.0,100.0
Chhattisgarh,96.1,97.2,96.6,85.9,90.8,88.3,73.2,80.8,77.3
Dadra and Nagar Haveli and Daman and Diu,99.9,100.0,100.0,93.1,97.2,95.0,87.6,95.1,91.4
Delhi,96.4,99.2,97.7,85.2,88.7,86.9,98.2,100.0,100.0
Goa,99.8,100.0,99.9,97.9,98.1,98.0,88.6,93.2,90.9
Gujarat,94.8,95.9,95.3,86.6,83.3,85.0,71.7,81.4,76.0
Haryana,98.0,100.0,99.0,92.4,93.7,93.0,83.5,90.9,86.9
Himachal Pradesh,99.6,99.4,99.5,97.7,98.4,98.0,83.9,88.9,86.3
Jammu and Kashmir,94.5,95.2,94.8,91.2,90.2,90.7,71.7,74.2,72.9
Jharkhand,87.8,91.5,89.6,78.4,84.3,81.3,72.6,76.6,74.7
Karnataka,97.5,98.3,97.9,96.0,97.4,96.7,54.9,70.3,62.5
Kerala,99.0,99.6,99.3,99.5,99.8,99.6,88.1,92.4,90.2
Ladakh,89.7,96.7,93.2,91.9,96.5,94.3,58.5,64.2,61.6
Lakshadweep,95.5,98.5,97.0,100.0,97.6,99.0,92.0,90.7,91.3
Madhya Pradesh,91.0,92.7,91.9,77.4,78.3,77.8,65.2,72.9,68.9
Maharashtra,99.4,99.7,99.5,98.5,98.3,98.4,77.1,81.5,79.2
Manipur,83.5,85.1,84.3,90.1,91.7,90.9,77.6,78.2,77.9
Meghalaya,71.7,79.3,75.5,60.6,68.6,65.0,47.1,48.3,47.8
Mizoram,89.6,92.8,91.1,74.1,81.4,77.8,57.6,59.3,58.5
Nagaland,89.7,93.4,91.5,81.3,86.3,83.8,73.8,76.7,75.3
Odisha,96.2,97.1,96.6,90.7,92.8,91.7,67.8,76.1,71.9
Puducherry,99.7,100.0,100.0,99.3,99.9,99.6,86.0,94.4,90.1
Punjab,96.2,96.6,96.4,93.5,94.9,94.2,89.7,91.9,90.7
Rajasthan,93.9,93.7,93.8,90.1,90.4,90.2,87.4,89.1,88.2
Sikkim,85.9,93.6,89.6,85.8,89.6,87.7,74.8,85.1,80.1
Tamil Nadu,96.3,97.0,96.7,95.8,97.3,96.6,81.8,92.4,87.0
Telangana,99.2,100.0,99.9,98.3,99.6,98.9,68.4,77.4,72.8
Tripura,93.3,95.1,94.2,86.7,91.0,88.9,82.3,84.7,83.5
Uttar Pradesh,90.4,91.6,91.0,78.6,77.6,78.1,73.5,80.2,76.6
Uttarakhand,96.6,98.0,97.3,92.2,94.3,93.2,87.5,92.4,89.9
West Bengal,98.4,99.4,98.9,88.6,95.2,91.9,54.4,60.2,57.4
