India/State/ UT,Retention Rate,,,,,,,,,,,
"",Primary (1 to 5),Elementary (1 to 8),Secondary (1 to 10),Higher Secondary (1 to 12),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,91.5,93.4,92.4,81.5,84.2,82.8,61.7,64.2,62.9,45.0,49.6,47.2
Andaman and Nicobar Islands,100.0,100.0,100.0,92.6,91.2,91.9,87.0,88.3,87.7,69.2,82.5,75.7
Andhra Pradesh,99.9,100.0,100.0,98.6,100.0,100.0,95.0,97.6,96.3,55.4,64.3,59.7
Arunachal Pradesh,55.4,56.9,56.1,48.5,53.6,51.0,29.9,34.8,32.3,18.0,20.7,19.4
Assam,77.7,80.2,78.9,64.0,74.4,69.1,45.1,57.4,51.1,25.9,30.4,28.1
Bihar,84.4,90.9,87.5,68.2,77.8,72.8,34.0,37.8,35.9,23.8,26.9,25.3
Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Chhattisgarh,92.0,93.7,92.8,88.3,90.5,89.4,53.5,67.6,60.4,39.3,54.7,46.8
"Dadra and Nagar Haveli andDaman and Diu",100.0,100.0,100.0,95.7,95.4,95.5,70.7,83.0,76.4,45.5,62.4,53.3
Delhi,100.0,100.0,100.0,100.0,100.0,100.0,88.4,87.9,88.2,81.7,90.2,85.7
Goa,100.0,100.0,100.0,93.0,92.9,93.0,76.7,85.6,80.9,70.2,80.3,75.1
Gujarat,100.0,100.0,100.0,90.7,90.4,90.5,72.9,69.3,71.2,40.0,44.8,42.3
Haryana,100.0,100.0,100.0,95.6,97.8,96.5,94.4,97.1,95.6,61.0,67.5,63.9
Himachal Pradesh,100.0,100.0,100.0,94.7,95.2,94.9,90.0,91.1,90.5,79.3,84.6,81.8
Jammu and Kashmir,79.5,79.8,79.6,76.0,75.1,75.6,56.2,55.6,55.9,36.8,39.7,38.2
Jharkhand,86.6,90.6,88.5,74.0,80.8,77.2,49.5,55.3,52.3,33.1,37.2,35.1
Karnataka,100.0,100.0,100.0,92.3,94.9,93.5,86.3,89.2,87.7,45.7,57.8,51.6
Kerala,97.0,97.9,97.5,98.2,99.5,98.9,99.1,99.9,99.5,87.1,92.9,89.9
Ladakh,75.7,77.6,76.6,65.7,71.9,68.8,64.6,75.6,70.1,40.6,53.3,46.9
Lakshadweep,92.4,92.6,92.5,90.9,100.0,95.9,90.1,100.0,96.9,100.0,100.0,100.0
Madhya Pradesh,88.3,89.8,89.0,78.8,81.0,79.9,51.7,56.0,53.7,30.4,34.5,32.3
Maharashtra,100.0,100.0,100.0,92.0,92.5,92.2,85.3,86.1,85.6,65.0,68.2,66.5
Manipur,67.8,67.3,67.6,58.6,61.6,60.1,51.7,53.0,52.3,30.0,32.0,31.0
Meghalaya,50.7,57.4,54.0,34.3,44.4,39.2,23.2,32.7,27.9,12.3,18.2,15.2
Mizoram,53.7,56.7,55.1,48.8,54.0,51.3,35.8,42.9,39.2,23.1,29.1,26.0
Nagaland,67.0,70.7,68.8,46.2,50.8,48.5,41.7,48.5,45.0,26.2,31.9,29.0
Odisha,100.0,100.0,100.0,92.3,92.5,92.4,73.3,76.3,74.7,50.5,56.0,53.1
Puducherry,92.9,93.8,93.3,84.0,97.0,89.8,87.8,92.5,90.1,75.2,87.2,81.0
Punjab,100.0,100.0,100.0,92.0,94.1,93.0,76.1,80.6,78.2,64.9,71.4,67.8
Rajasthan,81.6,84.9,83.1,77.9,79.6,78.7,55.1,56.9,55.9,50.5,53.5,51.9
Sikkim,83.5,87.3,85.3,71.3,79.6,75.2,60.0,75.8,67.3,44.6,62.7,52.9
Tamil Nadu,95.0,95.7,95.3,95.7,96.1,95.9,88.0,90.7,89.3,69.4,80.2,74.7
Telangana,100.0,100.0,100.0,92.6,95.6,94.0,75.3,79.1,77.1,49.0,57.6,53.1
Tripura,100.0,100.0,100.0,82.8,87.4,85.0,63.3,71.3,67.2,47.8,53.4,50.5
Uttar Pradesh,86.9,86.9,86.9,70.1,70.7,70.4,50.7,48.4,49.6,42.9,42.7,42.8
Uttarakhand,96.8,98.8,97.7,81.8,84.3,82.9,68.7,73.5,70.9,63.0,69.9,66.2
West Bengal,83.8,86.9,85.3,86.8,89.8,88.3,64.6,77.5,70.9,43.8,56.2,49.7
