India/State/ UT,Gross Enrolment Ratio (GER) – Scheduled Castes (SC),,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,91.2,94.4,92.7,93.4,99.1,96.1,92.0,96.2,94.0,79.5,84.8,82.0,55.3,63.9,59.4
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andhra Pradesh,99.6,100.7,100.1,107.0,106.8,106.9,102.5,103.1,102.8,94.4,95.1,94.7,66.2,81.7,73.9
Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Assam,115.5,121.2,118.3,89.3,96.8,92.9,104.7,111.1,107.8,77.6,89.6,83.6,38.7,44.7,41.7
Bihar,84.7,89.6,87.1,73.7,83.5,78.4,80.7,87.4,83.9,48.6,61.9,54.8,36.6,45.0,40.5
Chandigarh,18.8,20.7,19.6,29.9,33.3,31.4,23.1,25.5,24.2,37.2,40.2,38.6,35.8,42.8,38.9
Chhattisgarh,94.4,95.9,95.1,96.9,101.2,99.0,95.4,97.8,96.6,75.3,86.3,80.6,42.8,59.2,50.8
"Dadra and Nagar Haveli andDaman and Diu",108.3,101.5,105.1,95.5,89.3,92.6,103.0,96.4,99.9,98.3,113.1,104.6,82.5,99.7,90.2
Delhi,51.1,55.8,53.3,64.7,68.8,66.6,56.4,60.9,58.4,62.0,66.3,64.0,50.8,61.1,55.8
Goa,94.1,92.6,93.4,90.9,88.8,89.8,92.9,91.1,92.0,68.4,79.5,73.5,56.8,70.3,63.5
Gujarat,70.3,75.1,72.5,84.3,88.9,86.5,75.7,80.5,77.9,73.0,73.6,73.3,42.0,49.8,45.7
Haryana,78.7,82.2,80.3,95.2,103.1,98.9,85.0,90.0,87.3,89.4,95.4,92.2,60.7,77.2,68.3
Himachal Pradesh,90.0,90.7,90.3,97.1,101.8,99.3,92.8,95.0,93.9,102.5,105.4,103.9,76.4,86.7,81.3
Jammu and Kashmir,130.6,134.0,132.2,92.4,97.0,94.5,112.5,116.9,114.5,78.1,81.0,79.4,41.2,48.3,44.4
Jharkhand,89.5,90.9,90.2,81.1,87.5,84.2,86.4,89.7,87.9,63.5,74.9,69.0,39.5,47.6,43.4
Karnataka,95.7,98.2,96.9,97.7,100.2,98.9,96.5,99.0,97.7,98.6,102.7,100.5,48.4,65.7,56.7
Kerala,91.8,91.8,91.8,93.0,95.2,94.0,92.3,93.2,92.7,94.7,96.7,95.6,91.9,95.9,93.9
Ladakh,390.0,1060.0,613.3,200.0,340.0,258.3,311.8,700.0,455.6,333.3,400.0,440.0,233.3,466.7,350.0
Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Madhya Pradesh,78.7,80.5,79.6,84.6,88.2,86.3,80.9,83.4,82.1,71.7,73.9,72.8,40.8,46.5,43.5
Maharashtra,100.3,105.1,102.6,93.9,98.1,95.9,97.8,102.3,99.9,96.1,97.8,96.9,69.6,77.6,73.4
Manipur,164.4,168.2,166.2,124.1,134.7,129.2,147.5,154.3,150.8,115.7,124.5,119.9,92.6,102.4,97.4
Meghalaya,566.3,608.7,586.1,307.8,304.3,306.1,456.9,474.9,465.6,212.5,282.1,244.8,138.4,190.9,163.2
Mizoram,1057.1,1075.7,1052.5,930.0,1347.6,1124.0,1004.2,1174.1,1080.0,1590.0,966.7,1189.3,522.2,640.0,575.8
Nagaland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Odisha,97.9,98.8,98.4,97.5,100.5,99.0,97.8,99.5,98.6,86.4,88.7,87.5,55.6,62.7,59.1
Puducherry,65.2,69.8,67.4,68.8,71.1,69.9,66.6,70.3,68.4,65.8,70.2,67.9,57.7,65.0,61.3
Punjab,103.3,102.7,103.0,99.0,100.7,99.8,101.6,102.0,101.8,90.5,94.2,92.3,75.1,83.7,79.1
Rajasthan,89.4,93.0,91.1,96.4,103.6,99.8,92.0,97.0,94.4,86.1,90.1,88.0,63.6,69.3,66.3
Sikkim,157.0,160.0,158.5,125.3,140.1,132.3,143.1,151.5,147.1,123.6,151.6,136.4,63.1,87.6,75.3
Tamil Nadu,93.2,96.2,94.6,100.0,102.2,101.0,95.9,98.5,97.2,97.2,99.0,98.1,75.5,90.6,83.0
Telangana,111.6,114.3,112.9,108.0,110.0,108.9,110.2,112.6,111.3,93.7,97.2,95.4,61.1,76.6,68.7
Tripura,122.7,128.4,125.4,105.5,111.9,108.5,115.2,121.3,118.1,84.9,91.5,88.1,55.8,64.9,60.2
Uttar Pradesh,85.8,89.5,87.5,93.4,101.9,97.3,88.5,93.9,91.0,63.5,67.3,65.3,53.8,57.6,55.6
Uttarakhand,98.9,104.9,101.7,96.4,104.2,100.0,97.9,104.6,101.0,93.1,100.3,96.5,74.2,90.5,81.9
West Bengal,116.4,117.0,116.7,113.6,115.7,114.6,115.3,116.5,115.8,112.4,116.8,114.6,51.8,58.4,55.1
