India/State/ UT,Adjusted Net Enrolment Rate (ANER),,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,81.3,85.4,83.2,75.6,80.5,77.9,85.0,88.9,86.8,57.8,62.0,59.8
Andaman and Nicobar Islands,94.5,96.2,95.3,89.3,94.9,92.0,93.2,96.3,94.7,82.0,94.8,88.0
Andhra Pradesh,84.7,88.5,86.5,84.7,91.1,87.8,88.9,92.3,90.5,67.7,74.6,71.0
Arunachal Pradesh,84.9,90.0,87.4,51.8,59.9,55.8,85.1,89.8,87.4,35.4,41.8,38.5
Assam,91.4,98.7,94.9,68.2,80.6,74.2,88.7,97.2,92.8,48.2,62.1,55.0
Bihar,68.6,72.8,70.6,55.7,61.6,58.5,68.7,73.3,70.9,38.7,44.7,41.6
Chandigarh,100.1,108.9,104.2,109.0,128.1,117.2,104.7,117.0,110.2,97.9,116.0,105.8
Chhattisgarh,85.7,88.3,87.0,85.9,92.0,88.9,88.0,91.4,89.6,56.3,66.2,61.1
Dadra and Nagar Haveli and Daman and Diu,105.9,108.7,107.2,100.6,111.4,105.5,107.0,112.4,109.5,81.3,102.6,90.6
Delhi,91.0,102.0,96.0,95.8,107.1,100.9,96.8,107.1,101.4,74.0,84.2,78.7
Goa,103.7,102.4,103.0,91.0,98.9,94.7,107.2,109.4,108.3,73.4,77.7,75.4
Gujarat,89.0,95.0,91.7,86.6,89.6,88.0,89.0,93.8,91.2,63.5,64.3,63.9
Haryana,77.5,83.8,80.3,76.9,83.7,80.0,85.8,91.3,88.2,62.2,68.2,64.9
Himachal Pradesh,109.4,111.8,110.6,102.2,107.7,104.8,107.5,111.0,109.2,89.4,96.2,92.6
Jammu and Kashmir,115.4,118.1,116.7,68.7,73.6,70.9,97.1,101.4,99.1,53.3,56.1,54.6
Jharkhand,80.5,84.0,82.2,65.3,71.6,68.3,80.5,84.2,82.2,53.3,60.1,56.6
Karnataka,89.4,92.4,90.8,82.1,86.1,84.0,95.2,98.2,96.6,69.6,74.1,71.8
Kerala,94.1,94.9,94.5,97.0,100.0,98.5,95.8,97.3,96.5,93.7,97.1,95.3
Ladakh,102.3,103.7,103.0,68.9,86.8,77.2,90.9,99.2,94.9,59.5,70.7,65.0
Lakshadweep,102.1,100.6,101.4,80.4,80.0,80.2,93.8,92.3,93.0,70.1,73.6,71.8
Madhya Pradesh,73.6,75.6,74.5,72.7,75.6,74.1,76.2,78.0,77.0,52.0,55.0,53.4
Maharashtra,99.1,106.8,102.7,98.3,103.8,100.9,99.8,106.4,102.9,81.5,83.8,82.6
Manipur,109.7,113.8,111.6,67.6,74.1,70.7,106.8,111.7,109.1,52.9,57.3,55.1
Meghalaya,135.9,144.4,140.1,68.5,88.1,78.0,127.5,137.6,132.4,38.5,57.0,47.6
Mizoram,113.3,119.0,116.1,80.5,92.3,86.2,111.5,117.8,114.5,61.5,75.2,68.1
Nagaland,81.9,86.8,84.2,53.4,62.5,57.7,75.5,81.4,78.3,40.0,49.7,44.6
Odisha,85.1,86.4,85.8,82.2,85.3,83.7,89.1,90.6,89.8,65.7,69.1,67.3
Puducherry,92.7,93.1,92.9,95.4,101.2,98.1,94.4,96.8,95.6,88.8,98.5,93.4
Punjab,101.5,104.7,103.0,94.4,100.4,97.2,102.0,105.6,103.7,79.2,86.6,82.5
Rajasthan,86.7,91.0,88.7,83.6,84.9,84.2,88.2,91.1,89.6,71.4,70.1,70.8
Sikkim,90.6,92.2,91.4,65.7,72.0,68.8,82.8,85.3,84.0,54.8,62.6,58.6
Tamil Nadu,87.4,90.6,88.9,92.9,96.6,94.6,91.1,94.3,92.6,86.7,91.8,89.1
Telangana,107.7,113.4,110.4,100.2,106.6,103.3,107.4,112.5,109.8,81.2,88.5,84.7
Tripura,110.1,115.8,112.9,87.4,96.8,91.9,103.8,110.3,106.9,64.9,75.1,69.9
Uttar Pradesh,63.4,67.1,65.1,60.3,65.6,62.8,74.0,77.5,75.7,37.9,39.3,38.6
Uttarakhand,103.9,111.9,107.6,95.1,102.0,98.2,104.8,111.7,108.0,80.7,88.9,84.5
West Bengal,84.9,86.7,85.8,65.4,69.6,67.4,89.7,92.7,91.1,41.4,47.6,44.4
