India/State/ UT,Age-Specific Enrolment Rate (ASER),,,,,,,,,,,,,,
"",Age 6-10 years,Age 11-13 years,Age 6-13 years,Age 14-15 years,Age 16-17 years,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,81.3,85.4,83.2,91.0,94.7,92.7,85.0,88.9,86.8,76.0,78.6,77.3,76.6,77.8,77.2
Andaman and Nicobar Islands,94.5,96.2,95.3,91.4,96.4,93.7,93.2,96.3,94.7,85.0,97.3,90.8,45.2,52.8,48.7
Andhra Pradesh,84.7,88.5,86.5,95.5,98.5,97.0,88.9,92.3,90.5,88.1,88.9,88.5,64.3,65.2,64.7
Arunachal Pradesh,84.9,90.0,87.4,85.3,89.6,87.4,85.1,89.8,87.4,71.3,77.0,74.1,56.4,59.1,57.7
Assam,91.4,98.7,94.9,84.6,94.9,89.6,88.7,97.2,92.8,69.2,84.2,76.5,43.1,52.5,47.7
Bihar,68.6,72.8,70.6,68.8,74.1,71.3,68.7,73.3,70.9,51.2,57.7,54.3,27.1,30.7,28.9
Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,69.2,84.6,75.6
Chhattisgarh,85.7,88.3,87.0,91.8,96.6,94.1,88.0,91.4,89.6,62.9,71.2,67.0,36.4,43.9,40.1
"Dadra and Nagar Haveli andDaman and Diu",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.7,100.0,100.0,42.6,70.1,53.1
Delhi,91.0,100.0,96.0,100.0,100.0,100.0,96.8,100.0,100.0,98.7,100.0,100.0,82.5,88.4,85.3
Goa,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.5,100.0,98.4
Gujarat,89.0,95.0,91.7,89.0,91.8,90.3,89.0,93.8,91.2,66.9,67.1,67.0,25.8,26.4,26.1
Haryana,77.5,83.8,80.3,99.4,100.0,100.0,85.8,91.3,88.2,94.3,94.7,94.5,74.8,74.9,74.8
Himachal Pradesh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.8,98.1,94.8,35.2,34.1,34.7
Jammu and Kashmir,100.0,100.0,100.0,75.0,79.9,77.2,97.1,100.0,99.1,60.1,62.5,61.2,27.6,28.7,28.1
Jharkhand,80.5,84.0,82.2,80.4,84.4,82.3,80.5,84.2,82.2,74.7,78.4,76.5,40.1,41.8,41.0
Karnataka,89.4,92.4,90.8,100.0,100.0,100.0,95.2,98.2,96.6,98.7,100.0,99.5,68.8,78.7,73.6
Kerala,94.1,94.9,94.5,98.5,100.0,99.7,95.8,97.3,96.5,96.1,98.8,97.4,67.9,68.6,68.3
Ladakh,100.0,100.0,100.0,74.4,91.9,82.5,90.9,99.2,94.9,67.1,76.9,71.9,36.7,47.4,41.9
Lakshadweep,100.0,100.0,100.0,80.8,80.4,80.6,93.8,92.3,93.0,70.6,74.2,72.3,41.9,42.6,42.2
Madhya Pradesh,73.6,75.6,74.5,80.6,82.1,81.3,76.2,78.0,77.0,61.7,62.4,62.1,32.2,30.3,31.3
Maharashtra,99.1,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,85.3,86.5,85.9,50.8,50.0,50.4
Manipur,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.1,84.7,83.4,65.2,65.7,65.5
Meghalaya,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.8,100.0,94.4,49.4,63.5,56.4
Mizoram,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.8,97.9,94.8,55.3,60.6,57.9
Nagaland,81.9,86.8,84.2,66.7,73.8,70.1,75.5,81.4,78.3,55.9,64.6,60.0,37.2,41.8,39.4
Odisha,85.1,86.4,85.8,95.4,97.3,96.3,89.1,90.6,89.8,83.8,85.0,84.4,58.3,62.5,60.4
Puducherry,92.7,93.1,92.9,97.1,100.0,99.8,94.4,96.8,95.6,91.5,100.0,95.8,75.2,89.0,81.7
Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.3,94.4,91.6,53.8,51.7,52.8
Rajasthan,86.7,91.0,88.7,90.8,91.2,91.0,88.2,91.1,89.6,80.5,77.7,79.2,42.8,40.3,41.6
Sikkim,90.6,92.2,91.4,73.0,76.4,74.6,82.8,85.3,84.0,65.3,69.3,67.3,37.1,38.2,37.6
Tamil Nadu,87.4,90.6,88.9,97.1,100.0,98.6,91.1,94.3,92.6,93.0,96.5,94.7,72.5,80.6,76.4
Telangana,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.4,95.7,94.0,44.2,43.4,43.8
Tripura,100.0,100.0,100.0,95.2,100.0,98.8,100.0,100.0,100.0,75.6,83.5,79.4,50.0,55.9,52.8
Uttar Pradesh,63.4,67.1,65.1,92.5,95.7,94.0,74.0,77.5,75.7,68.7,68.2,68.4,57.5,56.2,56.9
Uttarakhand,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.5,98.0,94.5,48.3,49.9,49.1
West Bengal,84.9,86.7,85.8,97.0,100.0,99.3,89.7,92.7,91.1,89.0,95.4,92.1,71.0,81.5,76.2
