India/State/UT,Gender Parity Index (GPI) of GER,,,,
"","Primary(1 to 5)","UpperPrimary(6-8)","Elementary(1-8)","Secondary(9-10)","HigherSecondary(11-12)"
(1),(2),(3),(4),(5),(6)
India,1.0,1.0,1.0,1.0,1.1
Andaman and Nicobar Islands,1.0,1.1,1.0,1.0,1.3
Andhra Pradesh,1.0,1.0,1.0,1.0,1.1
Arunachal Pradesh,1.0,1.1,1.0,1.1,1.1
Assam,1.1,1.2,1.1,1.3,1.2
Bihar,1.0,1.1,1.1,1.1,1.1
Chandigarh,1.1,1.2,1.1,1.1,1.3
Chhattisgarh,1.0,1.0,1.0,1.1,1.3
"Dadra and Nagar Haveli andDaman and Diu",1.0,1.1,1.0,1.2,1.8
Delhi,1.1,1.1,1.1,1.1,1.1
Goa,1.0,1.1,1.0,1.0,1.2
Gujarat,1.1,1.0,1.1,1.0,1.1
Haryana,1.0,1.0,1.0,1.0,1.1
Himachal Pradesh,1.0,1.0,1.0,1.0,1.1
Jammu and Kashmir,1.0,1.1,1.0,1.0,1.1
Jharkhand,1.0,1.1,1.0,1.1,1.1
Karnataka,1.0,1.0,1.0,1.0,1.3
Kerala,1.0,1.0,1.0,1.0,1.1
Ladakh,1.0,1.2,1.1,1.2,1.4
Lakshadweep,1.0,1.0,1.0,1.0,1.0
Madhya Pradesh,1.0,1.0,1.0,1.0,1.1
Maharashtra,1.1,1.0,1.1,1.0,1.0
Manipur,1.0,1.1,1.0,1.1,1.0
Meghalaya,1.0,1.2,1.1,1.4,1.4
Mizoram,1.0,1.0,1.0,1.1,1.2
Nagaland,1.0,1.1,1.1,1.2,1.2
Odisha,1.0,1.0,1.0,1.0,1.1
Puducherry,1.0,1.1,1.0,1.1,1.2
Punjab,1.0,1.0,1.0,1.1,1.1
Rajasthan,1.0,1.0,1.0,1.0,1.0
Sikkim,1.0,1.0,1.0,1.0,1.2
Tamil Nadu,1.0,1.0,1.0,1.0,1.1
Telangana,1.0,1.0,1.0,1.0,1.1
Tripura,1.0,1.1,1.0,1.1,1.2
Uttar Pradesh,1.0,1.1,1.0,1.0,1.0
Uttarakhand,1.1,1.1,1.1,1.1,1.1
West Bengal,1.0,1.0,1.0,1.1,1.2
