India/State/ UT,Percentage of OBC enrolment to total enrolment,,,,,,,,,,,,,,,,,
"","Primary(1 to 5)","Upper Primary(6 to 8)","Elementary(1 to 8)","Secondary(9-10)","Higher Secondary(11-12)","Primary to HigherSecondary",,,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3 ),(4 ),(5),(6 ),(7 ),(8),(9 ),(1 0),( 11),(1 2),(1 3),( 14),(1 5),(1 6),( 17),(1 8),(1 9)
India,45.3,45.3,45.3,45.3,45.5,45.4,45.3,45.4,45.3,45.4,45.1,45.2,47.0,46.9,46.9,45.5,45.5,45.5
Andaman and Nicobar Islands,25.5,27.3,26.4,26.3,26.3,26.3,25.8,26.9,26.4,27.3,26.5,26.9,29.0,29.3,29.2,26.6,27.2,26.9
Andhra Pradesh,51.8,51.4,51.6,52.4,52.1,52.2,52.0,51.7,51.8,52.4,51.9,52.2,50.8,50.1,50.4,51.9,51.5,51.7
Arunachal Pradesh,4.6,4.1,4.3,4.4,3.9,4.1,4.5,4.0,4.2,3.8,3.5,3.7,3.2,3.4,3.3,4.3,3.9,4.1
Assam,25.8,25.8,25.8,27.5,26.1,26.8,26.4,25.9,26.1,28.8,26.4,27.5,27.8,26.9,27.3,26.8,26.1,26.5
Bihar,64.2,64.6,64.4,64.4,65.4,64.9,64.3,64.8,64.6,65.1,66.4,65.8,67.1,67.9,67.5,64.6,65.4,65.0
Chandigarh,4.1,3.6,3.8,3.7,3.3,3.5,3.9,3.5,3.7,4.2,3.8,4.0,5.7,5.3,5.5,4.3,3.9,4.1
Chhattisgarh,44.4,44.6,44.5,46.0,46.1,46.1,45.0,45.2,45.1,49.0,48.7,48.8,48.7,49.3,49.0,46.0,46.2,46.1
"Dadra and Nagar Haveli andDaman and Diu",11.1,10.5,10.8,12.1,11.1,11.6,11.5,10.7,11.1,14.1,14.6,14.3,19.3,18.4,18.8,12.7,12.3,12.5
Delhi,6.1,5.7,5.9,6.0,5.4,5.7,6.0,5.6,5.8,7.4,6.6,7.0,9.0,8.5,8.8,6.7,6.2,6.5
Goa,9.4,9.8,9.6,11.4,12.1,11.7,10.2,10.7,10.4,12.7,13.5,13.1,15.0,15.3,15.2,11.2,11.9,11.5
Gujarat,45.8,46.9,46.3,47.2,48.1,47.6,46.3,47.4,46.8,46.9,45.1,46.1,42.6,40.4,41.5,46.1,46.3,46.2
Haryana,29.7,30.2,29.9,29.3,29.8,29.5,29.5,30.0,29.8,28.0,27.4,27.7,28.1,27.7,27.9,29.1,29.3,29.2
Himachal Pradesh,13.7,13.1,13.4,13.7,13.3,13.5,13.7,13.2,13.5,14.3,14.1,14.2,15.1,14.9,15.0,14.0,13.6,13.8
Jammu and Kashmir,7.7,7.7,7.7,7.5,7.7,7.5,7.6,7.7,7.7,7.4,7.6,7.5,6.4,6.4,6.4,7.5,7.5,7.5
Jharkhand,46.6,46.6,46.6,48.1,48.7,48.4,47.2,47.4,47.3,49.4,50.3,49.9,50.3,50.0,50.2,47.8,48.1,48.0
Karnataka,63.0,63.0,63.0,63.4,63.5,63.5,63.1,63.2,63.2,63.5,63.8,63.7,65.5,66.5,66.1,63.4,63.7,63.6
Kerala,70.4,70.3,70.4,70.1,70.2,70.2,70.3,70.3,70.3,69.7,69.8,69.7,67.8,68.0,67.9,69.8,69.8,69.8
Ladakh,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.1,0.2,0.2,0.3,0.1,0.2,0.3,0.3,0.3
Lakshadweep,1.8,2.1,1.9,1.3,1.5,1.4,1.6,1.8,1.7,1.9,1.7,1.8,1.2,1.2,1.2,1.6,1.7,1.7
Madhya Pradesh,43.6,43.2,43.4,44.3,44.2,44.3,43.9,43.6,43.8,48.2,47.4,47.8,49.9,49.1,49.5,45.1,44.8,45.0
Maharashtra,32.3,32.3,32.3,33.1,33.0,33.0,32.6,32.6,32.6,34.2,33.7,34.0,35.8,35.3,35.5,33.3,33.1,33.2
Manipur,30.5,30.7,30.6,33.9,33.8,33.8,31.6,31.7,31.6,34.8,34.5,34.7,35.1,34.7,34.9,32.4,32.5,32.4
Meghalaya,1.0,0.9,0.9,1.2,1.1,1.1,1.0,1.0,1.0,1.5,1.2,1.3,2.0,1.5,1.7,1.1,1.0,1.1
Mizoram,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3
Nagaland,4.3,4.0,4.2,3.7,3.3,3.5,4.1,3.8,3.9,3.4,2.9,3.1,2.7,2.5,2.6,3.9,3.5,3.7
Odisha,36.9,36.6,36.8,37.3,36.8,37.1,37.1,36.7,36.9,39.0,38.1,38.6,40.8,40.0,40.4,37.8,37.4,37.6
Puducherry,73.1,72.7,72.9,73.5,73.5,73.5,73.3,73.0,73.2,74.0,73.7,73.9,75.3,74.3,74.8,73.7,73.4,73.6
Punjab,14.7,14.9,14.8,15.1,15.5,15.3,14.8,15.1,15.0,15.9,16.5,16.2,16.9,17.7,17.3,15.3,15.7,15.5
Rajasthan,48.9,48.6,48.8,48.4,48.2,48.3,48.7,48.5,48.6,49.7,48.9,49.3,50.5,49.9,50.2,49.1,48.7,48.9
Sikkim,34.5,35.0,34.8,35.9,35.7,35.8,35.0,35.3,35.2,35.5,35.0,35.2,34.8,35.1,35.0,35.1,35.2,35.2
Tamil Nadu,70.2,70.0,70.1,71.0,70.7,70.9,70.5,70.3,70.4,71.9,71.5,71.7,74.0,72.5,73.2,71.3,70.9,71.1
Telangana,48.3,48.2,48.3,49.4,49.4,49.4,48.7,48.7,48.7,50.9,50.7,50.8,51.8,51.4,51.6,49.4,49.4,49.4
Tripura,17.1,17.3,17.2,18.6,18.5,18.5,17.7,17.8,17.7,19.9,20.2,20.1,22.0,21.7,21.8,18.5,18.6,18.6
Uttar Pradesh,57.2,57.2,57.2,55.8,56.2,56.0,56.7,56.8,56.8,56.2,56.5,56.3,56.3,56.3,56.3,56.6,56.7,56.6
Uttarakhand,33.3,33.5,33.4,28.5,29.3,28.9,31.5,31.9,31.7,24.1,25.7,24.8,22.3,23.8,23.0,29.0,29.7,29.3
West Bengal,12.3,12.3,12.3,12.2,12.2,12.2,12.3,12.3,12.3,12.1,12.4,12.3,14.8,15.2,15.0,12.5,12.6,12.6
