India/State/ UT,Percentage of Muslim minority enrolment to total enrolment,,,,,,,,,,,,,,,,,
"","Primary(1 to 5)","Upper Primary(6 to 8)","Elementary(1 to 8)",Secondary (9-10),"Higher Secondary(11-12)","Primary to HigherSecondary",,,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3 ),(4 ),( 5),(6 ),(7 ),( 8),(9 ),(1 0),( 11),(1 2),(1 3),( 14),(1 5),(1 6),( 17),(1 8),(1 9)
India,17.4,18.0,17.7,14.9,16.0,15.4,16.5,17.2,16.8,13.4,15.2,14.2,11.2,12.9,12.0,15.4,16.4,15.9
Andaman and Nicobar Islands,11.5,11.6,11.5,10.2,10.2,10.2,11.0,11.0,11.0,9.8,8.9,9.3,8.5,9.1,8.8,10.3,10.3,10.3
Andhra Pradesh,9.5,9.5,9.5,8.8,9.0,8.9,9.2,9.3,9.2,7.9,8.2,8.1,7.4,7.4,7.4,8.8,8.8,8.8
Arunachal Pradesh,2.3,2.1,2.2,1.7,1.5,1.6,2.1,1.9,2.0,1.6,1.3,1.4,1.1,1.5,1.3,2.0,1.8,1.9
Assam,45.5,45.8,45.7,39.2,43.6,41.5,43.3,45.0,44.2,33.1,40.8,37.3,28.6,32.9,30.9,40.6,43.2,42.0
Bihar,19.0,20.5,19.7,16.4,18.6,17.5,18.1,19.8,18.9,12.6,15.4,14.1,12.9,15.0,14.0,16.9,18.7,17.8
Chandigarh,6.2,6.1,6.2,5.5,5.8,5.7,5.9,6.0,5.9,5.1,5.3,5.2,3.3,4.1,3.7,5.3,5.5,5.4
Chhattisgarh,2.0,1.9,1.9,1.8,1.8,1.8,1.9,1.9,1.9,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8
"Dadra and Nagar Haveli andDaman and Diu",6.1,5.7,5.9,5.6,5.2,5.4,5.9,5.5,5.7,5.1,4.6,4.9,4.2,4.3,4.2,5.6,5.2,5.4
Delhi,15.0,16.3,15.6,14.2,16.3,15.2,14.6,16.3,15.4,12.3,15.0,13.6,9.7,13.2,11.5,13.5,15.6,14.5
Goa,13.7,13.3,13.5,12.8,13.0,12.9,13.3,13.2,13.3,12.4,12.5,12.4,9.4,10.6,10.0,12.6,12.7,12.7
Gujarat,11.3,11.8,11.5,10.7,11.3,11.0,11.0,11.6,11.3,9.5,9.8,9.7,7.6,8.1,7.8,10.4,10.9,10.7
Haryana,11.3,11.7,11.5,10.1,10.5,10.2,10.8,11.2,11.0,6.2,5.1,5.7,4.7,3.6,4.2,9.2,9.2,9.2
Himachal Pradesh,3.2,3.1,3.2,2.7,2.7,2.7,3.0,2.9,3.0,2.3,2.2,2.3,1.6,1.7,1.7,2.7,2.6,2.6
Jammu and Kashmir,70.3,71.7,71.0,65.4,67.4,66.3,68.6,70.2,69.4,63.2,65.8,64.4,62.5,64.0,63.2,67.0,68.8,67.9
Jharkhand,16.4,17.2,16.8,15.3,16.5,15.9,16.0,17.0,16.5,12.5,14.9,13.7,9.1,10.7,9.9,14.8,15.9,15.3
Karnataka,17.3,17.7,17.5,16.0,16.6,16.3,16.8,17.3,17.0,15.1,15.8,15.4,11.4,13.2,12.4,16.0,16.5,16.2
Kerala,41.4,41.4,41.4,39.2,39.5,39.3,40.5,40.6,40.6,38.1,38.4,38.3,34.6,35.1,34.8,39.2,39.3,39.2
Ladakh,58.9,58.8,58.9,58.8,58.9,58.9,58.9,58.8,58.9,61.1,59.6,60.3,62.9,64.4,63.7,59.6,59.7,59.6
Lakshadweep,99.5,99.5,99.5,99.8,99.8,99.8,99.6,99.6,99.6,99.9,99.8,99.8,98.9,99.5,99.2,99.6,99.6,99.6
Madhya Pradesh,6.8,6.9,6.9,5.9,6.3,6.1,6.4,6.7,6.6,4.6,5.4,5.0,3.7,4.7,4.2,5.9,6.3,6.1
Maharashtra,15.2,15.8,15.5,13.6,14.3,13.9,14.6,15.2,14.9,12.3,13.6,12.9,10.2,11.6,10.9,13.6,14.5,14.0
Manipur,10.5,10.8,10.6,8.7,8.9,8.8,9.9,10.2,10.0,8.4,8.7,8.5,6.8,5.9,6.3,9.4,9.5,9.4
Meghalaya,4.1,4.1,4.1,4.4,4.3,4.3,4.2,4.2,4.2,4.1,3.3,3.7,4.2,2.9,3.5,4.2,4.0,4.1
Mizoram,0.8,0.7,0.8,0.7,0.4,0.6,0.8,0.6,0.7,0.3,0.3,0.3,0.3,0.2,0.2,0.6,0.5,0.6
Nagaland,7.5,7.2,7.4,4.0,4.0,4.0,6.3,6.1,6.2,2.6,3.0,2.8,2.1,1.8,2.0,5.3,5.1,5.2
Odisha,2.6,2.6,2.6,2.3,2.3,2.3,2.5,2.5,2.5,2.2,2.3,2.3,1.8,2.0,1.9,2.4,2.4,2.4
Puducherry,9.1,8.8,8.9,8.2,8.4,8.3,8.7,8.6,8.7,7.8,7.9,7.8,7.9,7.7,7.8,8.4,8.4,8.4
Punjab,3.4,3.5,3.4,2.7,2.8,2.7,3.1,3.2,3.2,2.2,2.3,2.3,1.9,2.1,2.0,2.8,2.9,2.9
Rajasthan,8.8,9.0,8.9,6.5,6.8,6.7,8.0,8.2,8.1,5.1,5.2,5.1,3.8,4.1,3.9,7.0,7.2,7.1
Sikkim,3.3,3.3,3.3,2.2,2.3,2.2,2.9,2.9,2.9,2.1,1.7,1.9,1.9,1.7,1.8,2.6,2.5,2.6
Tamil Nadu,7.3,7.5,7.4,6.9,7.2,7.1,7.2,7.3,7.2,6.8,7.0,6.9,6.8,6.7,6.8,7.0,7.2,7.1
Telangana,16.6,17.2,16.9,15.0,16.0,15.5,16.0,16.8,16.4,14.9,16.2,15.6,13.2,14.3,13.8,15.5,16.4,15.9
Tripura,11.9,11.8,11.9,9.4,10.7,10.0,11.0,11.4,11.2,8.1,9.8,9.0,6.7,7.5,7.1,10.0,10.6,10.3
Uttar Pradesh,20.0,20.3,20.2,15.8,16.4,16.1,18.5,18.8,18.7,13.8,15.0,14.4,11.9,13.3,12.5,17.0,17.6,17.3
Uttarakhand,20.5,20.8,20.7,14.7,16.3,15.5,18.3,19.1,18.7,10.1,12.5,11.2,7.6,10.1,8.8,15.5,16.7,16.0
West Bengal,38.8,39.2,39.0,35.4,36.7,36.0,37.5,38.2,37.8,32.9,37.4,35.2,27.7,36.2,32.4,35.8,37.8,36.8
