India/State/ UT,Percentage of Schools with electricity connection,Percentage of Schools with functional electricity connection,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,93.6,94.5,91.7,93,81.6,91.9,92.3,90.9,92.3,80.2
Andaman and Nicobar Islands,93.9,92.5,100,100,0,92.2,90.4,100,100,0
Andhra Pradesh,99.8,99.7,99.9,100,100,99.7,99.5,99.8,100,100
Arunachal Pradesh,71.8,65.1,98.6,97.9,89.3,62.3,53.4,97.2,96.8,89.3
Assam,89.7,96.3,30.9,86.1,16,88.8,95.7,27.7,84.9,13.3
Bihar,97.5,97.8,91.2,97.7,93.9,97.1,97.4,89.9,97.5,93.3
Chandigarh,100,100,100,100,0,100,100,100,100,0
Chhattisgarh,94.7,94.1,91.5,98.5,96.1,90.9,89.9,90.3,98,94.4
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.9,99.9,100,100,100,99.9,99.8,100,100,100
Haryana,100,100,100,99.9,100,100,100,100,99.9,99.8
Himachal Pradesh,99.4,99.3,0,99.9,100,99,98.9,0,99.8,100
Jammu and Kashmir,91.5,91.4,100,91.6,93.6,87.2,86.5,100,89.5,89.4
Jharkhand,95.6,96.6,71.9,97,93.9,92.7,93.3,68,96.3,92.4
Karnataka,99,98.9,99.6,99.3,100,98.3,97.8,99.3,99.1,100
Kerala,99.9,99.8,99.9,99.9,100,99.7,99.4,99.9,99.9,100
Ladakh,82.6,81.7,78.9,91,0,76.4,74.4,78.9,90.1,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,91.2,89.6,88,96.2,93.6,87.8,85.4,86.9,95.3,92.6
Maharashtra,94.9,92.1,98.9,99.2,99.5,88.9,82.4,98.4,98.7,99.5
Manipur,69.9,63.5,51.1,98.1,79.8,63.3,55,42.1,97.6,78.8
Meghalaya,30.7,21.1,37.3,48.1,50.5,28.1,18.2,34.9,46,48.3
Mizoram,87.6,85.9,94,90.4,91.2,80.3,75.5,91.8,89,91.2
Nagaland,85.3,81.2,0,95.2,0,78.2,71.5,0,94,0
Odisha,97.4,97.3,97,99,97.6,96.9,96.7,96.4,98.8,97.2
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,99.9,99.9,100,99.9,100
Rajasthan,92.2,90.9,0,95.8,82.8,91.3,89.9,0,95,81.3
Sikkim,98.9,98.9,81.3,99.5,0,97,96.5,81.3,98.9,0
Tamil Nadu,99.7,99.9,99.7,99.2,100,99.6,99.7,99.6,99.1,100
Telangana,97,95.8,90.7,100,100,95.1,93.3,89.6,99.9,100
Tripura,83.1,83.4,92.9,97.5,46.7,80,79.7,90.5,97.3,45
Uttar Pradesh,87.6,92.4,81.6,83.3,74,86,90.7,80.2,82.1,72
Uttarakhand,96.3,95.3,96.4,98.8,100,94.3,92.8,95.3,98.4,99.1
West Bengal,98,98.4,98.6,95.2,94,97.1,97.5,97.3,94.4,93.2
