India/State/ UT,Total Schools,Schools with electricity facility,Schools with functional electricity facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided","Others","Allmanagement","Government.","Government.aided","Pvt.unaided","Others","Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471473,1013322,79349,339583,39219,1377945,957567,72737,315647,31994,1352061,935216,72118,313285,31442
Andaman and Nicobar Islands,408,335,2,71,0,383,310,2,71,0,376,303,2,71,0
Andhra Pradesh,61317,44886,838,15473,120,61196,44772,837,15467,120,61103,44680,836,15467,120
Arunachal Pradesh,3229,2558,72,571,28,2320,1665,71,559,25,2013,1365,70,553,25
Assam,55283,44741,1587,6480,2475,49566,43101,490,5579,396,49092,42822,440,5501,329
Bihar,94339,76320,712,11274,6033,91956,74629,649,11012,5666,91579,74322,640,10988,5629
Chandigarh,207,118,7,82,0,207,118,7,82,0,207,118,7,82,0
Chhattisgarh,56802,48827,413,7382,180,53768,45948,378,7269,173,51657,43880,373,7234,170
"Dadra and Nagar Haveli andDaman and Diu",433,361,8,63,1,433,361,8,63,1,433,361,8,63,1
Delhi,5556,2681,238,2637,0,5556,2681,238,2637,0,5556,2681,238,2637,0
Goa,1479,780,558,141,0,1479,780,558,141,0,1479,780,558,141,0
Gujarat,53355,34638,5522,13190,5,53310,34597,5520,13188,5,53297,34584,5520,13188,5
Haryana,23494,14338,4,8499,653,23485,14338,4,8490,653,23483,14338,4,8489,652
Himachal Pradesh,17330,14725,0,2603,2,17227,14624,0,2601,2,17163,14563,0,2598,2
Jammu and Kashmir,24192,18785,1,5359,47,22127,17174,1,4908,44,21093,16255,1,4795,42
Jharkhand,44376,35788,1155,1707,5726,42415,34554,831,1656,5374,41115,33397,785,1643,5290
Karnataka,74859,48844,6905,19105,5,74142,48298,6877,18962,5,73570,47783,6855,18927,5
Kerala,15757,4808,7164,3018,767,15739,4797,7159,3016,767,15717,4781,7155,3014,767
Ladakh,961,812,38,111,0,794,663,30,101,0,734,604,30,100,0
Lakshadweep,36,36,0,0,0,36,36,0,0,0,36,36,0,0,0
Madhya Pradesh,122120,92250,550,28212,1108,111320,82664,484,27135,1037,107204,78813,478,26887,1026
Maharashtra,108250,64884,24406,18746,214,102683,59733,24146,18591,213,96200,53472,24005,18510,213
Manipur,4666,2952,585,1030,99,3262,1874,299,1010,79,2952,1623,246,1005,78
Meghalaya,14587,7789,4172,2135,491,4475,1644,1555,1028,248,4095,1420,1456,982,237
Mizoram,3974,2617,232,1068,57,3483,2247,218,966,52,3193,1977,213,951,52
Nagaland,2750,1936,0,814,0,2347,1572,0,775,0,2150,1385,0,765,0
Odisha,61565,48625,5868,6107,965,59987,47307,5694,6044,942,59665,47036,5658,6033,938
Puducherry,763,419,33,311,0,763,419,33,311,0,763,419,33,311,0
Punjab,27281,19243,437,7589,12,27272,19237,437,7586,12,27261,19229,437,7583,12
Rajasthan,106302,70155,0,33548,2599,98054,63752,0,32150,2152,97075,63079,0,31883,2113
Sikkim,1245,857,16,372,0,1231,848,13,370,0,1208,827,13,368,0
Tamil Nadu,57935,37626,8254,11890,165,57770,37580,8228,11797,165,57699,37530,8220,11784,165
Telangana,43154,30057,579,12474,44,41845,28802,525,12474,44,41059,28031,519,12465,44
Tripura,4943,4187,42,485,229,4109,3490,39,473,107,3952,3339,38,472,103
Uttar Pradesh,262358,137172,8262,104508,12416,229759,126810,6740,87017,9192,225711,124386,6622,85759,8944
Uttarakhand,22452,16018,615,5352,467,21611,15265,593,5286,467,21173,14860,586,5264,463
West Bengal,93715,82154,74,7176,4311,91835,80877,73,6832,4053,90998,80137,72,6772,4017
