India/State/ UT,Percentage of Schools with CWSN friendly toilet,Percentage of Schools with functional CWSN friendly toilet,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,35.6,34.6,41.9,38.8,19.6,33.4,32.1,40.5,37.2,18.5
Andaman and Nicobar Islands,29.9,29,0,35.2,0,29.2,28.1,0,35.2,0
Andhra Pradesh,24.3,19.3,18.4,39.3,21.7,23.6,18.5,17.9,38.7,19.2
Arunachal Pradesh,12.3,10.2,19.4,21,14.3,8.8,5.9,16.7,20.5,14.3
Assam,25.1,27.5,6.4,21.1,4.8,24.1,26.4,5.7,20,4.4
Bihar,19,17.1,17.3,30.4,21,18.5,16.7,17,29.6,20.5
Chandigarh,89.9,92.4,71.4,87.8,0,89.9,92.4,71.4,87.8,0
Chhattisgarh,59.3,60.2,48.9,54.1,46.1,51,50.9,47,52.3,45
"Dadra and Nagar Haveli andDaman and Diu",93.3,97,50,77.8,100,92.8,96.4,50,77.8,100
Delhi,99.4,99.8,95,99.4,0,99.4,99.8,95,99.3,0
Goa,10.6,8.1,14,11.3,0,10.1,7.4,13.6,11.3,0
Gujarat,38.2,47.3,22,21.3,40,37.4,46.3,21.4,20.8,40
Haryana,53,69.9,50,27.3,15.9,51.6,68.2,50,26.3,15.8
Himachal Pradesh,29.7,27.7,0,40.6,50,28.2,26.6,0,37.6,50
Jammu and Kashmir,8,5,100,18.6,8.5,7.2,4.3,100,17.3,8.5
Jharkhand,7.1,5.5,7.6,26.5,10.7,6.4,5,7,25.1,9.7
Karnataka,19.7,15.5,17.5,31.3,0,18.1,13.7,16.2,30.1,0
Kerala,38.6,59.6,29.6,31.4,19,35.5,54,27.5,29.6,17.5
Ladakh,27.5,30.3,5.3,14.4,0,25,27.6,5.3,12.6,0
Lakshadweep,66.7,66.7,0,0,0,63.9,63.9,0,0,0
Madhya Pradesh,23.2,15.2,43.6,49.2,18.4,21.4,13.7,41.6,46.4,17.2
Maharashtra,62.5,59.9,64.1,69.3,65.9,58.4,54.5,61.7,67.4,64.5
Manipur,11.3,9.3,2.6,22.1,6.1,9.9,7.5,2.4,21.6,6.1
Meghalaya,3.7,3.3,3.6,5.8,3.3,3.2,2.7,3.1,5.2,3.1
Mizoram,19.8,26.1,7.3,7.5,10.5,15,19.1,6,7.4,7
Nagaland,9.9,9.3,0,11.1,0,8.4,7.6,0,10.3,0
Odisha,72.3,74.2,62.3,68.7,61.3,70.6,72.3,61.2,67.8,59.8
Puducherry,41,49.9,21.2,31.2,0,37.7,44.6,21.2,30.2,0
Punjab,57.6,60.3,47.6,51.5,33.3,56.3,58.8,46.7,50.6,33.3
Rajasthan,22.8,14.2,0,41.3,14.8,20.8,12.9,0,38,11.9
Sikkim,28.7,35.2,0,14.8,0,26.6,32.4,0,14.2,0
Tamil Nadu,51.1,36.9,64.8,85.9,89.1,48.3,32.8,64.6,85.7,89.1
Telangana,7.5,5.8,1.9,11.6,2.3,6.8,5,1.9,11.3,2.3
Tripura,14,13.9,26.2,19,3.5,12.1,11.8,21.4,17.9,2.6
Uttar Pradesh,47.1,61.6,28.2,32.7,20.2,43.4,56.1,26.5,31,18.6
Uttarakhand,11.9,8.1,13,23.1,11.8,10.7,7.2,11.9,21.2,10.3
West Bengal,30.8,30.4,28.4,36.9,29.3,30.8,30.4,28.4,36.9,29.3
