India/State/ UT,Total Schools,Schools with CWSN friendly toilet,Schools with functional CWSN friendly toilet,,,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,
(1),(2),(3),(4),(5),(6),,(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),
India,1471473,1013322,79349,339583,39219,,523143,350501,33280,131667,7695,491262,325505,32124,126359,7274,
Andaman and Nicobar Islands,408,335,2,71,0,,122,97,0,25,0,119,94,0,25,0,
Andhra Pradesh,61317,44886,838,15473,120,,14905,8651,154,6074,26,14455,8287,150,5995,23,
Arunachal Pradesh,3229,2558,72,571,28,,398,260,14,120,4,284,151,12,117,4,
Assam,55283,44741,1587,6480,2475,,13885,12301,101,1365,118,13314,11822,91,1293,108,
Bihar,94339,76320,712,11274,6033,,17895,13076,123,3431,1265,17407,12712,121,3337,1237,
Chandigarh,207,118,7,82,0,,186,109,5,72,0,186,109,5,72,0,
Chhattisgarh,56802,48827,413,7382,180,,33672,29390,202,3997,83,28969,24832,194,3862,81,
"Dadra and Nagar Haveli andDaman and Diu",433,361,8,63,1,,404,350,4,49,1,402,348,4,49,1,
Delhi,5556,2681,238,2637,0,,5523,2676,226,2621,0,5520,2675,226,2619,0,
Goa,1479,780,558,141,0,,157,63,78,16,0,150,58,76,16,0,
Gujarat,53355,34638,5522,13190,5,,20401,16375,1216,2808,2,19963,16041,1179,2741,2,
Haryana,23494,14338,4,8499,653,,12451,10028,2,2317,104,12127,9785,2,2237,103,
Himachal Pradesh,17330,14725,0,2603,2,,5140,4083,0,1056,1,4891,3912,0,978,1,
Jammu and Kashmir,24192,18785,1,5359,47,,1943,941,1,997,4,1745,814,1,926,4,
Jharkhand,44376,35788,1155,1707,5726,,3132,1979,88,453,612,2842,1779,81,428,554,
Karnataka,74859,48844,6905,19105,5,,14756,7560,1209,5987,0,13579,6713,1122,5744,0,
Kerala,15757,4808,7164,3018,767,,6077,2864,2120,947,146,5596,2596,1972,894,134,
Ladakh,961,812,38,111,0,,264,246,2,16,0,240,224,2,14,0,
Lakshadweep,36,36,0,0,0,,24,24,0,0,0,23,23,0,0,0,
Madhya Pradesh,122120,92250,550,28212,1108,,28303,13976,240,13883,204,26181,12657,229,13104,191,
Maharashtra,108250,64884,24406,18746,214,,67668,38887,15645,12995,141,63212,35386,15054,12634,138,
Manipur,4666,2952,585,1030,99,,525,276,15,228,6,462,220,14,222,6,
Meghalaya,14587,7789,4172,2135,491,,547,256,152,123,16,470,214,131,110,15,
Mizoram,3974,2617,232,1068,57,,786,683,17,80,6,597,500,14,79,4,
Nagaland,2750,1936,0,814,0,,271,181,0,90,0,232,148,0,84,0,
Odisha,61565,48625,5868,6107,965,,44532,36088,3654,4198,592,43468,35156,3593,4142,577,
Puducherry,763,419,33,311,0,,313,209,7,97,0,288,187,7,94,0,
Punjab,27281,19243,437,7589,12,,15726,11608,208,3906,4,15353,11306,204,3839,4,
Rajasthan,106302,70155,0,33548,2599,,24246,9990,0,13872,384,22106,9057,0,12739,310,
Sikkim,1245,857,16,372,0,,357,302,0,55,0,331,278,0,53,0,
Tamil Nadu,57935,37626,8254,11890,165,,29606,13894,5346,10219,147,27996,12324,5334,10191,147,
Telangana,43154,30057,579,12474,44,,3216,1751,11,1453,1,2926,1504,11,1410,1,
Tripura,4943,4187,42,485,229,,693,582,11,92,8,597,495,9,87,6,
Uttar Pradesh,262358,137172,8262,104508,12416,,123461,84491,2328,34140,2502,113942,76997,2192,32441,2312,
Uttarakhand,22452,16018,615,5352,467,,2673,1302,80,1236,55,2406,1151,73,1134,48,
West Bengal,93715,82154,74,7176,4311,,28885,24952,21,2649,1263,28883,24950,21,2649,1263,
