India/State/ UT,Total Schools,Number of schools with ramps for CWSN,Percentage of Schools with ramps for CWSN,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471473,1013322,79349,339583,39219,1164274,888860,59414,201515,14485,79.1,87.7,74.9,59.3,36.9
Andaman and Nicobar Islands,408,335,2,71,0,270,244,1,25,0,66.2,72.8,50,35.2,0
Andhra Pradesh,61317,44886,838,15473,120,54436,39791,726,13811,108,88.8,88.6,86.6,89.3,90
Arunachal Pradesh,3229,2558,72,571,28,910,739,21,144,6,28.2,28.9,29.2,25.2,21.4
Assam,55283,44741,1587,6480,2475,44194,42674,159,1230,131,79.9,95.4,10,19,5.3
Bihar,94339,76320,712,11274,6033,77546,66904,460,6734,3448,82.2,87.7,64.6,59.7,57.2
Chandigarh,207,118,7,82,0,197,118,6,73,0,95.2,100,85.7,89,0
Chhattisgarh,56802,48827,413,7382,180,43969,40021,246,3626,76,77.4,82,59.6,49.1,42.2
"Dadra and Nagar Haveli andDaman and Diu",433,361,8,63,1,426,359,7,59,1,98.4,99.4,87.5,93.7,100
Delhi,5556,2681,238,2637,0,5512,2670,232,2610,0,99.2,99.6,97.5,99,0
Goa,1479,780,558,141,0,966,723,205,38,0,65.3,92.7,36.7,27,0
Gujarat,53355,34638,5522,13190,5,43275,32891,3477,6904,3,81.1,95,63,52.3,60
Haryana,23494,14338,4,8499,653,17676,12497,3,4934,242,75.2,87.2,75,58.1,37.1
Himachal Pradesh,17330,14725,0,2603,2,14833,13940,0,892,1,85.6,94.7,0,34.3,50
Jammu and Kashmir,24192,18785,1,5359,47,10994,9561,1,1426,6,45.4,50.9,100,26.6,12.8
Jharkhand,44376,35788,1155,1707,5726,29823,27389,379,703,1352,67.2,76.5,32.8,41.2,23.6
Karnataka,74859,48844,6905,19105,5,57196,42880,4215,10098,3,76.4,87.8,61,52.9,60
Kerala,15757,4808,7164,3018,767,13108,4594,6552,1652,310,83.2,95.5,91.5,54.7,40.4
Ladakh,961,812,38,111,0,588,552,4,32,0,61.2,68,10.5,28.8,0
Lakshadweep,36,36,0,0,0,35,35,0,0,0,97.2,97.2,0,0,0
Madhya Pradesh,122120,92250,550,28212,1108,113643,90193,471,22421,558,93.1,97.8,85.6,79.5,50.4
Maharashtra,108250,64884,24406,18746,214,101723,62686,22661,16218,158,94,96.6,92.9,86.5,73.8
Manipur,4666,2952,585,1030,99,1989,1602,151,222,14,42.6,54.3,25.8,21.6,14.1
Meghalaya,14587,7789,4172,2135,491,4784,3712,750,267,55,32.8,47.7,18,12.5,11.2
Mizoram,3974,2617,232,1068,57,1764,1475,74,202,13,44.4,56.4,31.9,18.9,22.8
Nagaland,2750,1936,0,814,0,1159,1020,0,139,0,42.1,52.7,0,17.1,0
Odisha,61565,48625,5868,6107,965,58645,47329,4972,5505,839,95.3,97.3,84.7,90.1,86.9
Puducherry,763,419,33,311,0,523,389,7,127,0,68.5,92.8,21.2,40.8,0
Punjab,27281,19243,437,7589,12,21844,17274,217,4350,3,80.1,89.8,49.7,57.3,25
Rajasthan,106302,70155,0,33548,2599,72682,53067,0,19067,548,68.4,75.6,0,56.8,21.1
Sikkim,1245,857,16,372,0,554,500,5,49,0,44.5,58.3,31.3,13.2,0
Tamil Nadu,57935,37626,8254,11890,165,53677,35855,7394,10287,141,92.7,95.3,89.6,86.5,85.5
Telangana,43154,30057,579,12474,44,33105,24286,297,8498,24,76.7,80.8,51.3,68.1,54.5
Tripura,4943,4187,42,485,229,3144,2907,28,138,71,63.6,69.4,66.7,28.5,31
Uttar Pradesh,262358,137172,8262,104508,12416,186796,123755,5216,52948,4877,71.2,90.2,63.1,50.7,39.3
Uttarakhand,22452,16018,615,5352,467,18354,14014,429,3639,272,81.7,87.5,69.8,68,58.2
West Bengal,93715,82154,74,7176,4311,73934,70214,48,2447,1225,78.9,85.5,64.9,34.1,28.4
