India/State/ UT,Total Schools,"Number of schools having ramps with handrails forCWSN","Percentage of Schools having ramps with handrailsfor CWSN",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471473,1013322,79349,339583,39219,808460,639209,45578,116869,6804,54.9,63.1,57.4,34.4,17.3
Andaman and Nicobar Islands,408,335,2,71,0,156,137,1,18,0,38.2,40.9,50,25.4,0
Andhra Pradesh,61317,44886,838,15473,120,36493,26650,470,9315,58,59.5,59.4,56.1,60.2,48.3
Arunachal Pradesh,3229,2558,72,571,28,650,552,16,79,3,20.1,21.6,22.2,13.8,10.7
Assam,55283,44741,1587,6480,2475,39269,38421,82,696,70,71,85.9,5.2,10.7,2.8
Bihar,94339,76320,712,11274,6033,46519,40563,241,3795,1920,49.3,53.1,33.8,33.7,31.8
Chandigarh,207,118,7,82,0,132,79,4,49,0,63.8,66.9,57.1,59.8,0
Chhattisgarh,56802,48827,413,7382,180,31445,29252,156,2010,27,55.4,59.9,37.8,27.2,15
"Dadra and Nagar Haveli andDaman and Diu",433,361,8,63,1,421,356,6,58,1,97.2,98.6,75,92.1,100
Delhi,5556,2681,238,2637,0,5365,2630,214,2521,0,96.6,98.1,89.9,95.6,0
Goa,1479,780,558,141,0,878,707,144,27,0,59.4,90.6,25.8,19.1,0
Gujarat,53355,34638,5522,13190,5,32902,26902,1994,4005,1,61.7,77.7,36.1,30.4,20
Haryana,23494,14338,4,8499,653,11563,8033,3,3404,123,49.2,56,75,40.1,18.8
Himachal Pradesh,17330,14725,0,2603,2,13012,12346,0,666,0,75.1,83.8,0,25.6,0
Jammu and Kashmir,24192,18785,1,5359,47,3580,3112,0,468,0,14.8,16.6,0,8.7,0
Jharkhand,44376,35788,1155,1707,5726,18119,16911,147,420,641,40.8,47.3,12.7,24.6,11.2
Karnataka,74859,48844,6905,19105,5,47433,36770,3085,7577,1,63.4,75.3,44.7,39.7,20
Kerala,15757,4808,7164,3018,767,10778,4088,5294,1171,225,68.4,85,73.9,38.8,29.3
Ladakh,961,812,38,111,0,215,198,2,15,0,22.4,24.4,5.3,13.5,0
Lakshadweep,36,36,0,0,0,30,30,0,0,0,83.3,83.3,0,0,0
Madhya Pradesh,122120,92250,550,28212,1108,42111,31810,176,9990,135,34.5,34.5,32,35.4,12.2
Maharashtra,108250,64884,24406,18746,214,88287,55863,19232,13082,110,81.6,86.1,78.8,69.8,51.4
Manipur,4666,2952,585,1030,99,1127,962,71,90,4,24.2,32.6,12.1,8.7,4
Meghalaya,14587,7789,4172,2135,491,3366,2768,403,167,28,23.1,35.5,9.7,7.8,5.7
Mizoram,3974,2617,232,1068,57,770,684,13,70,3,19.4,26.1,5.6,6.6,5.3
Nagaland,2750,1936,0,814,0,524,466,0,58,0,19.1,24.1,0,7.1,0
Odisha,61565,48625,5868,6107,965,53353,43803,4342,4551,657,86.7,90.1,74,74.5,68.1
Puducherry,763,419,33,311,0,391,320,4,67,0,51.2,76.4,12.1,21.5,0
Punjab,27281,19243,437,7589,12,17142,14578,86,2475,3,62.8,75.8,19.7,32.6,25
Rajasthan,106302,70155,0,33548,2599,37579,29608,0,7812,159,35.4,42.2,0,23.3,6.1
Sikkim,1245,857,16,372,0,367,350,2,15,0,29.5,40.8,12.5,4,0
Tamil Nadu,57935,37626,8254,11890,165,49949,33543,6475,9795,136,86.2,89.1,78.4,82.4,82.4
Telangana,43154,30057,579,12474,44,20422,13843,163,6400,16,47.3,46.1,28.2,51.3,36.4
Tripura,4943,4187,42,485,229,1881,1743,15,73,50,38.1,41.6,35.7,15.1,21.8
Uttar Pradesh,262358,137172,8262,104508,12416,130461,103570,2498,22736,1657,49.7,75.5,30.2,21.8,13.3
Uttarakhand,22452,16018,615,5352,467,11926,9315,231,2251,129,53.1,58.2,37.6,42.1,27.6
West Bengal,93715,82154,74,7176,4311,49844,48246,8,943,647,53.2,58.7,10.8,13.1,15
