India/State/ UT,Total Schools,Number of schools having drinking water facility within school premises – all types of management,"No. of schoolsnot havingdrinking waterfacility withinschool premises","Percentage ofschools havingdrinking waterfacility withinschool premises",,,,,,
"",,"Any sourceof drinkingwater",Tap Water,"PackedWater",Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,1471473,1461032,915401,25758,452566,21747,3186,42374,10441,99.3
Andaman and Nicobar Islands,408,408,371,2,2,7,10,16,0,100
Andhra Pradesh,61317,61317,45275,5203,9024,214,22,1579,0,100
Arunachal Pradesh,3229,2992,2573,19,276,62,22,40,237,92.7
Assam,55283,54167,29948,312,19277,2437,534,1659,1116,98
Bihar,94339,94081,48754,744,44509,6,5,63,258,99.7
Chandigarh,207,207,207,0,0,0,0,0,0,100
Chhattisgarh,56802,56514,20982,607,34231,155,60,479,288,99.5
"Dadra and Nagar Haveli andDaman and Diu",433,433,400,5,20,1,0,7,0,100
Delhi,5556,5556,5520,16,19,0,0,1,0,100
Goa,1479,1479,1463,1,3,6,0,6,0,100
Gujarat,53355,53328,45425,776,5525,488,38,1076,27,99.9
Haryana,23494,23494,20030,210,1794,222,3,1235,0,100
Himachal Pradesh,17330,17330,17075,16,150,19,1,69,0,100
Jammu and Kashmir,24192,24111,21308,260,850,283,197,1213,81,99.7
Jharkhand,44376,44038,14934,342,27576,535,119,532,338,99.2
Karnataka,74859,74798,66760,1698,3693,1397,53,1197,61,99.9
Kerala,15757,15748,7811,153,1266,6270,33,215,9,99.9
Ladakh,961,949,625,49,194,9,0,72,12,98.8
Lakshadweep,36,36,35,0,0,1,0,0,0,100
Madhya Pradesh,122120,121556,37181,2184,76966,1426,370,3429,564,99.5
Maharashtra,108250,108033,80199,1919,17715,2765,236,5199,217,99.8
Manipur,4666,4649,1415,795,123,110,73,2133,17,99.6
Meghalaya,14587,10604,7544,297,576,873,565,749,3983,72.7
Mizoram,3974,3767,2986,107,7,18,13,636,207,94.8
Nagaland,2750,2479,1626,211,91,143,35,373,271,90.1
Odisha,61565,61565,39645,1573,19479,225,53,590,0,100
Puducherry,763,763,716,5,21,7,0,14,0,100
Punjab,27281,27278,19843,66,4532,27,2,2808,3,100
Rajasthan,106302,105460,61481,1528,30532,2857,270,8792,842,99.2
Sikkim,1245,1243,1227,6,3,2,1,4,2,99.8
Tamil Nadu,57935,57717,53824,625,2267,278,9,714,218,99.6
Telangana,43154,42962,33006,2259,5757,141,17,1782,192,99.6
Tripura,4943,4820,3084,46,1066,135,171,318,123,97.5
Uttar Pradesh,262358,261191,150099,1646,106577,178,25,2666,1167,99.6
Uttarakhand,22452,22321,20284,64,1691,51,7,224,131,99.4
West Bengal,93715,93638,51745,2014,36754,399,242,2484,77,99.9
