India/State/ UT,Total Schools,Number of schools having drinking water facility within school premises – Government aided,"No. of Government.aided schools nothaving drinkingwater facility withinschool premises","Percentage ofGovernment. aidedschools havingdrinking water facilitywithin school premises",,,,,,
"",,"Any source ofdrinking water",Tap Water,Packed Water,Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,79349,78142,57571,962,12722,4648,225,2014,1207,98.5
Andaman and Nicobar Islands,2,2,2,0,0,0,0,0,0,100
Andhra Pradesh,838,838,654,75,88,5,1,15,0,100
Arunachal Pradesh,72,72,68,0,2,1,0,1,0,100
Assam,1587,1441,265,14,949,102,39,72,146,90.8
Bihar,712,709,283,2,421,0,1,2,3,99.6
Chandigarh,7,7,7,0,0,0,0,0,0,100
Chhattisgarh,413,412,221,12,176,3,0,0,1,99.8
"Dadra and Nagar Haveli andDaman and Diu",8,8,8,0,0,0,0,0,0,100
Delhi,238,238,237,0,1,0,0,0,0,100
Goa,558,558,552,0,3,2,0,1,0,100
Gujarat,5522,5522,4860,76,464,60,2,60,0,100
Haryana,4,4,4,0,0,0,0,0,0,100
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,1,1,1,0,0,0,0,0,0,100
Jharkhand,1155,1150,471,5,636,17,5,16,5,99.6
Karnataka,6905,6905,6370,82,257,94,3,99,0,100
Kerala,7164,7159,3403,33,498,3115,12,98,5,99.9
Ladakh,38,38,30,0,8,0,0,0,0,100
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,550,550,296,6,222,15,1,10,0,100
Maharashtra,24406,24402,19005,225,3406,915,17,834,4,100
Manipur,585,582,99,132,17,13,11,310,3,99.5
Meghalaya,4172,3211,2437,68,149,244,126,187,961,77
Mizoram,232,230,201,2,0,0,0,27,2,99.1
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,5868,5868,3943,81,1801,24,5,14,0,100
Puducherry,33,33,33,0,0,0,0,0,0,100
Punjab,437,437,395,1,26,0,0,15,0,100
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,16,16,15,1,0,0,0,0,0,100
Tamil Nadu,8254,8223,7786,69,195,27,1,145,31,99.6
Telangana,579,554,452,31,42,1,0,28,25,95.7
Tripura,42,42,34,0,5,1,0,2,0,100
Uttar Pradesh,8262,8241,4818,47,3299,5,1,71,21,99.7
Uttarakhand,615,615,555,0,51,4,0,5,0,100
West Bengal,74,74,66,0,6,0,0,2,0,100
