India/ State/ UT,Total Schools,Number of schools having drinking water facility within school premises – Private unaided,"No. of private unaidedschools not havingdrinking water facilitywithin school premises","Percentage of privateunaided schoolshaving drinking waterfacility within schoolpremises",,,,,,
"",,"Any source ofdrinkingwater",Tap Water,Packed Water,Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,339583,337595,245498,9709,71127,4703,261,6297,1988,99.4
Andaman and Nicobar Islands,71,71,71,0,0,0,0,0,0,100
Andhra Pradesh,15473,15473,12658,1716,824,53,0,222,0,100
Arunachal Pradesh,571,567,511,2,24,23,2,5,4,99.3
Assam,6480,6404,3563,135,2292,249,34,131,76,98.8
Bihar,11274,11192,8340,204,2627,0,2,19,82,99.3
Chandigarh,82,82,82,0,0,0,0,0,0,100
Chhattisgarh,7382,7368,4519,107,2661,37,2,42,14,99.8
"Dadra and Nagar Haveli andDaman and Diu",63,63,51,4,3,0,0,5,0,100
Delhi,2637,2637,2611,16,9,0,0,1,0,100
Goa,141,141,140,0,0,1,0,0,0,100
Gujarat,13190,13189,11804,343,615,208,13,206,1,100
Haryana,8499,8499,7342,184,535,103,1,334,0,100
Himachal Pradesh,2603,2603,2504,3,61,14,0,21,0,100
Jammu and Kashmir,5359,5357,5020,36,210,54,5,32,2,100
Jharkhand,1707,1706,1177,29,469,13,0,18,1,99.9
Karnataka,19105,19081,17055,833,728,207,8,250,24,99.9
Kerala,3018,3018,1604,81,227,1080,4,22,0,100
Ladakh,111,111,75,5,18,2,0,11,0,100
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,28212,28094,16830,679,9598,628,14,345,118,99.6
Maharashtra,18746,18739,14779,843,1722,665,10,720,7,100
Manipur,1030,1027,573,173,53,46,6,176,3,99.7
Meghalaya,2135,1560,1096,51,136,113,72,92,575,73.1
Mizoram,1068,1028,903,20,3,4,0,98,40,96.3
Nagaland,814,775,522,68,37,62,6,80,39,95.2
Odisha,6107,6107,5014,129,905,35,4,20,0,100
Puducherry,311,311,280,5,12,6,0,8,0,100
Punjab,7589,7589,6561,50,643,11,1,323,0,100
Rajasthan,33548,33423,26931,680,4322,652,30,808,125,99.6
Sikkim,372,371,367,0,3,0,0,1,1,99.7
Tamil Nadu,11890,11797,10895,172,393,122,0,215,93,99.2
Telangana,12474,12473,9885,1388,692,66,2,440,1,100
Tripura,485,483,370,12,72,13,1,15,2,99.6
Uttar Pradesh,104508,103736,61754,1233,39163,133,10,1443,772,99.3
Uttarakhand,5352,5351,4821,29,433,29,1,38,1,100
West Bengal,7176,7169,4790,479,1637,74,33,156,7,99.9
