India/State/ UT,Total Schools,Schools with drinking water facility,Schools with functional drinking water facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471473,1013322,79349,339583,39219,1461032,1006864,78142,337595,38431,1456968,1003305,77948,337358,38357
Andaman and Nicobar Islands,408,335,2,71,0,408,335,2,71,0,408,335,2,71,0
Andhra Pradesh,61317,44886,838,15473,120,61317,44886,838,15473,120,61316,44885,838,15473,120
Arunachal Pradesh,3229,2558,72,571,28,2992,2325,72,567,28,2932,2265,72,567,28
Assam,55283,44741,1587,6480,2475,54167,44357,1441,6404,1965,53938,44211,1417,6388,1922
Bihar,94339,76320,712,11274,6033,94081,76168,709,11192,6012,93936,76033,709,11186,6008
Chandigarh,207,118,7,82,0,207,118,7,82,0,207,118,7,82,0
Chhattisgarh,56802,48827,413,7382,180,56514,48554,412,7368,180,56104,48146,412,7366,180
"Dadra and Nagar Haveli andDaman and Diu",433,361,8,63,1,433,361,8,63,1,433,361,8,63,1
Delhi,5556,2681,238,2637,0,5556,2681,238,2637,0,5556,2681,238,2637,0
Goa,1479,780,558,141,0,1479,780,558,141,0,1479,780,558,141,0
Gujarat,53355,34638,5522,13190,5,53328,34612,5522,13189,5,53292,34578,5520,13189,5
Haryana,23494,14338,4,8499,653,23494,14338,4,8499,653,23494,14338,4,8499,653
Himachal Pradesh,17330,14725,0,2603,2,17330,14725,0,2603,2,17330,14725,0,2603,2
Jammu and Kashmir,24192,18785,1,5359,47,24111,18706,1,5357,47,24061,18658,1,5355,47
Jharkhand,44376,35788,1155,1707,5726,44038,35461,1150,1706,5721,43857,35290,1143,1705,5719
Karnataka,74859,48844,6905,19105,5,74798,48807,6905,19081,5,74780,48793,6905,19077,5
Kerala,15757,4808,7164,3018,767,15748,4804,7159,3018,767,15746,4802,7159,3018,767
Ladakh,961,812,38,111,0,949,800,38,111,0,932,784,38,110,0
Lakshadweep,36,36,0,0,0,36,36,0,0,0,36,36,0,0,0
Madhya Pradesh,122120,92250,550,28212,1108,121556,91811,550,28094,1101,120755,91036,550,28068,1101
Maharashtra,108250,64884,24406,18746,214,108033,64678,24402,18739,214,107835,64483,24401,18737,214
Manipur,4666,2952,585,1030,99,4649,2945,582,1027,95,4646,2942,582,1027,95
Meghalaya,14587,7789,4172,2135,491,10604,5479,3211,1560,354,10015,5112,3059,1498,346
Mizoram,3974,2617,232,1068,57,3767,2452,230,1028,57,3709,2395,230,1027,57
Nagaland,2750,1936,0,814,0,2479,1704,0,775,0,2429,1659,0,770,0
Odisha,61565,48625,5868,6107,965,61565,48625,5868,6107,965,61562,48622,5868,6107,965
Puducherry,763,419,33,311,0,763,419,33,311,0,763,419,33,311,0
Punjab,27281,19243,437,7589,12,27278,19240,437,7589,12,27273,19235,437,7589,12
Rajasthan,106302,70155,0,33548,2599,105460,69485,0,33423,2552,104930,68983,0,33405,2542
Sikkim,1245,857,16,372,0,1243,856,16,371,0,1242,856,15,371,0
Tamil Nadu,57935,37626,8254,11890,165,57717,37532,8223,11797,165,57691,37513,8221,11792,165
Telangana,43154,30057,579,12474,44,42962,29891,554,12473,44,42946,29875,554,12473,44
Tripura,4943,4187,42,485,229,4820,4077,42,483,218,4752,4013,41,482,216
Uttar Pradesh,262358,137172,8262,104508,12416,261191,136840,8241,103736,12374,260722,136461,8238,103654,12369
Uttarakhand,22452,16018,615,5352,467,22321,15888,615,5351,467,22233,15803,614,5349,467
West Bengal,93715,82154,74,7176,4311,93638,82088,74,7169,4307,93628,82079,74,7168,4307
