India/State/ UT,Total Schools,"Schools with Co-curricular activity room/arts and craftsroom facility available","Percentage of Schools with Co-curricular activityroom/arts and crafts room facility available",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471473,1013322,79349,339583,39219,229224,71794,23614,129722,4094,15.6,7.1,29.8,38.2,10.4
Andaman and Nicobar Islands,408,335,2,71,0,116,80,1,35,0,28.4,23.9,50,49.3,0
Andhra Pradesh,61317,44886,838,15473,120,11975,2579,205,9174,17,19.5,5.7,24.5,59.3,14.2
Arunachal Pradesh,3229,2558,72,571,28,524,184,41,288,11,16.2,7.2,56.9,50.4,39.3
Assam,55283,44741,1587,6480,2475,2951,1101,40,1775,35,5.3,2.5,2.5,27.4,1.4
Bihar,94339,76320,712,11274,6033,6010,2180,48,3252,530,6.4,2.9,6.7,28.8,8.8
Chandigarh,207,118,7,82,0,156,78,7,71,0,75.4,66.1,100,86.6,0
Chhattisgarh,56802,48827,413,7382,180,5482,3232,73,2165,12,9.7,6.6,17.7,29.3,6.7
"Dadra and Nagar Haveli andDaman and Diu",433,361,8,63,1,100,51,6,43,0,23.1,14.1,75,68.3,0
Delhi,5556,2681,238,2637,0,3662,1431,164,2067,0,65.9,53.4,68.9,78.4,0
Goa,1479,780,558,141,0,354,61,228,65,0,23.9,7.8,40.9,46.1,0
Gujarat,53355,34638,5522,13190,5,10204,1628,2154,6419,3,19.1,4.7,39,48.7,60
Haryana,23494,14338,4,8499,653,7922,2538,3,5164,217,33.7,17.7,75,60.8,33.2
Himachal Pradesh,17330,14725,0,2603,2,4916,3083,0,1833,0,28.4,20.9,0,70.4,0
Jammu and Kashmir,24192,18785,1,5359,47,3090,939,1,2137,13,12.8,5,100,39.9,27.7
Jharkhand,44376,35788,1155,1707,5726,4301,2088,140,1015,1058,9.7,5.8,12.1,59.5,18.5
Karnataka,74859,48844,6905,19105,5,14408,2932,2088,9384,4,19.2,6,30.2,49.1,80
Kerala,15757,4808,7164,3018,767,4767,660,1573,2217,317,30.3,13.7,22,73.5,41.3
Ladakh,961,812,38,111,0,154,94,1,59,0,16,11.6,2.6,53.2,0
Lakshadweep,36,36,0,0,0,21,21,0,0,0,58.3,58.3,0,0,0
Madhya Pradesh,122120,92250,550,28212,1108,12677,3843,149,8652,33,10.4,4.2,27.1,30.7,3
Maharashtra,108250,64884,24406,18746,214,20079,2843,7767,9403,66,18.5,4.4,31.8,50.2,30.8
Manipur,4666,2952,585,1030,99,706,240,10,448,8,15.1,8.1,1.7,43.5,8.1
Meghalaya,14587,7789,4172,2135,491,565,109,234,190,32,3.9,1.4,5.6,8.9,6.5
Mizoram,3974,2617,232,1068,57,211,147,13,42,9,5.3,5.6,5.6,3.9,15.8
Nagaland,2750,1936,0,814,0,455,136,0,319,0,16.5,7,0,39.2,0
Odisha,61565,48625,5868,6107,965,11645,6909,1562,2833,341,18.9,14.2,26.6,46.4,35.3
Puducherry,763,419,33,311,0,285,89,15,181,0,37.4,21.2,45.5,58.2,0
Punjab,27281,19243,437,7589,12,8043,3358,187,4497,1,29.5,17.5,42.8,59.3,8.3
Rajasthan,106302,70155,0,33548,2599,16596,6249,0,10271,76,15.6,8.9,0,30.6,2.9
Sikkim,1245,857,16,372,0,281,132,1,148,0,22.6,15.4,6.3,39.8,0
Tamil Nadu,57935,37626,8254,11890,165,22392,8562,4049,9658,123,38.7,22.8,49.1,81.2,74.5
Telangana,43154,30057,579,12474,44,8489,1816,134,6536,3,19.7,6,23.1,52.4,6.8
Tripura,4943,4187,42,485,229,481,273,9,188,11,9.7,6.5,21.4,38.8,4.8
Uttar Pradesh,262358,137172,8262,104508,12416,36539,7493,2469,25772,805,13.9,5.5,29.9,24.7,6.5
Uttarakhand,22452,16018,615,5352,467,3855,1259,211,2333,52,17.2,7.9,34.3,43.6,11.1
West Bengal,93715,82154,74,7176,4311,4812,3376,31,1088,317,5.1,4.1,41.9,15.2,7.4
