India/State/ UT,Total Schools,Schools with Kitchen Garden facility available,"Percentage of Schools with Kitchen Garden facilityavailable",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471473,1013322,79349,339583,39219,592198,461680,37648,86621,6249,40.2,45.6,47.4,25.5,15.9
Andaman and Nicobar Islands,408,335,2,71,0,315,283,1,31,0,77.2,84.5,50,43.7,0
Andhra Pradesh,61317,44886,838,15473,120,43155,33661,655,8770,69,70.4,75,78.2,56.7,57.5
Arunachal Pradesh,3229,2558,72,571,28,970,616,47,300,7,30,24.1,65.3,52.5,25
Assam,55283,44741,1587,6480,2475,46095,44073,292,1399,331,83.4,98.5,18.4,21.6,13.4
Bihar,94339,76320,712,11274,6033,19656,15277,137,3011,1231,20.8,20,19.2,26.7,20.4
Chandigarh,207,118,7,82,0,179,116,5,58,0,86.5,98.3,71.4,70.7,0
Chhattisgarh,56802,48827,413,7382,180,30282,28001,229,2002,50,53.3,57.3,55.4,27.1,27.8
"Dadra and Nagar Haveli andDaman and Diu",433,361,8,63,1,352,320,6,26,0,81.3,88.6,75,41.3,0
Delhi,5556,2681,238,2637,0,4528,2361,196,1971,0,81.5,88.1,82.4,74.7,0
Goa,1479,780,558,141,0,1128,755,316,57,0,76.3,96.8,56.6,40.4,0
Gujarat,53355,34638,5522,13190,5,25968,22891,801,2275,1,48.7,66.1,14.5,17.2,20
Haryana,23494,14338,4,8499,653,11855,9316,1,2399,139,50.5,65,25,28.2,21.3
Himachal Pradesh,17330,14725,0,2603,2,14495,13307,0,1186,2,83.6,90.4,0,45.6,100
Jammu and Kashmir,24192,18785,1,5359,47,5010,3739,1,1258,12,20.7,19.9,100,23.5,25.5
Jharkhand,44376,35788,1155,1707,5726,12283,10153,417,546,1167,27.7,28.4,36.1,32,20.4
Karnataka,74859,48844,6905,19105,5,24277,16072,2855,5346,4,32.4,32.9,41.3,28,80
Kerala,15757,4808,7164,3018,767,11942,4000,5876,1721,345,75.8,83.2,82,57,45
Ladakh,961,812,38,111,0,150,113,7,30,0,15.6,13.9,18.4,27,0
Lakshadweep,36,36,0,0,0,36,36,0,0,0,100,100,0,0,0
Madhya Pradesh,122120,92250,550,28212,1108,22133,17299,90,4642,102,18.1,18.8,16.4,16.5,9.2
Maharashtra,108250,64884,24406,18746,214,57933,39213,12977,5688,55,53.5,60.4,53.2,30.3,25.7
Manipur,4666,2952,585,1030,99,1865,1100,216,527,22,40,37.3,36.9,51.2,22.2
Meghalaya,14587,7789,4172,2135,491,4731,3211,1216,243,61,32.4,41.2,29.1,11.4,12.4
Mizoram,3974,2617,232,1068,57,1638,1409,45,173,11,41.2,53.8,19.4,16.2,19.3
Nagaland,2750,1936,0,814,0,1412,1066,0,346,0,51.3,55.1,0,42.5,0
Odisha,61565,48625,5868,6107,965,57472,47421,4942,4460,649,93.4,97.5,84.2,73,67.3
Puducherry,763,419,33,311,0,188,110,4,74,0,24.6,26.3,12.1,23.8,0
Punjab,27281,19243,437,7589,12,20462,16528,327,3601,6,75,85.9,74.8,47.5,50
Rajasthan,106302,70155,0,33548,2599,30585,23879,0,6419,287,28.8,34,0,19.1,11
Sikkim,1245,857,16,372,0,677,561,7,109,0,54.4,65.5,43.8,29.3,0
Tamil Nadu,57935,37626,8254,11890,165,26723,17638,3900,5153,32,46.1,46.9,47.2,43.3,19.4
Telangana,43154,30057,579,12474,44,18611,15305,125,3174,7,43.1,50.9,21.6,25.4,15.9
Tripura,4943,4187,42,485,229,1659,1489,12,127,31,33.6,35.6,28.6,26.2,13.5
Uttar Pradesh,262358,137172,8262,104508,12416,58507,39485,1542,16365,1115,22.3,28.8,18.7,15.7,9
Uttarakhand,22452,16018,615,5352,467,15158,12474,394,2145,145,67.5,77.9,64.1,40.1,31
West Bengal,93715,82154,74,7176,4311,19768,18402,9,989,368,21.1,22.4,12.2,13.8,8.5
