India/State/ UT,Percentage of Boys’ and Co-educational Schools with boy’s toilet facility,Percentage of Boys’ and Co-educational Schools with functional boy’s toilet facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,96.2,95.5,96.6,98.7,93.7,92.4,91.2,94.7,95.8,89.4
Andaman and Nicobar Islands,99.5,99.4,100,100,0,99.3,99.1,100,100,0
Andhra Pradesh,90,86.6,86.4,99.7,89.6,88.8,85,85.8,99.6,89.6
Arunachal Pradesh,93.4,91.9,100,99.1,100,75.5,69.5,98.4,98.2,96.4
Assam,94.9,98.7,64.6,96.6,40.3,93.6,98.5,53.7,92.8,32.3
Bihar,98.2,98,96.7,99,99.3,97.5,97.3,94.1,98.5,99
Chandigarh,100,100,100,100,0,100,100,100,100,0
Chhattisgarh,92.1,91,96.7,99.5,92.6,84.3,82.1,95.4,98,90.3
"Dadra & Nagar Haveli andDaman & Diu",99.8,99.7,100,100,100,99.8,99.7,100,100,100
Delhi,99.7,99.4,100,100,0,99.7,99.4,100,100,0
Goa,100,100,100,100,0,99.9,99.9,99.8,100,0
Gujarat,98.6,98,99.2,99.9,100,97.4,96.3,99,99.7,100
Haryana,99.9,99.9,100,99.9,99.8,99.9,99.9,100,99.9,99.7
Himachal Pradesh,99.3,99.2,0,100,100,98.8,98.7,0,99.5,100
Jammu and Kashmir,90,87.2,100,99.3,91.1,81.3,76.6,100,97.3,88.9
Jharkhand,97.9,97.8,91.2,98.9,99,94.8,94.5,85.3,98.2,97.6
Karnataka,97.1,95.8,99.5,99.5,100,96.1,94.3,99.4,99.4,100
Kerala,99.5,99.3,99.4,99.8,99.9,99.3,99.1,99.2,99.7,99.6
Ladakh,95.4,95.1,87.1,100,0,92.3,91.5,87.1,99.1,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,97.7,97.3,99.2,98.9,97.9,87.2,84.7,95.8,94.7,93.2
Maharashtra,95.9,93.3,99.7,99.9,100,92,87.2,99.3,99.1,100
Manipur,86.6,86.1,66.1,99.2,87.8,76.4,73.2,55.1,96.9,83.7
Meghalaya,86.4,91.4,84.2,75.9,72.3,72,74.9,69.9,67.2,65.6
Mizoram,90.3,88.1,91.3,94.8,100,79.9,73.9,87,92.2,98.2
Nagaland,92.6,90.2,0,98.3,0,80.7,73.8,0,97,0
Odisha,97.8,97.7,96,99.5,97.9,96.5,96.5,94.5,98.8,97.2
Puducherry,99.5,99,100,100,0,99.3,98.7,100,100,0
Punjab,98.7,98.3,99.3,99.8,100,97.8,97.3,98.3,99.3,100
Rajasthan,94.7,93.2,0,98.1,88.5,86.3,85.3,0,89,75.6
Sikkim,99.1,98.8,93.8,100,0,98.5,97.9,93.8,100,0
Tamil Nadu,92.5,89.2,98.1,98.9,100,90.9,86.9,98,98.8,100
Telangana,90,85.8,89.6,99.7,84.4,86.7,81.1,88.8,99.5,84.4
Tripura,92.5,92.9,100,97.5,72.9,74.1,72.6,92.9,92.9,56.8
Uttar Pradesh,97.9,97.8,96,98.2,97.9,94.5,95.4,92.6,94,90.8
Uttarakhand,97.5,96.7,98.1,99.7,99.8,89.1,87.1,92.1,94.4,90.5
West Bengal,99.5,99.6,100,99.3,99.3,99.5,99.6,100,99.3,99.3
