India/State/ UT,Total Boys’ and Co-educational Schools,Schools with boy’s toilet facility,Schools with functional boy’s toilet facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),( 5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1444480,993489,75813,336571,38607,1390242,948547,73237,332279,36179,1334739,906183,71773,322280,34503
Andaman and Nicobar Islands,407,334,2,71,0,405,332,2,71,0,404,331,2,71,0
Andhra Pradesh,60139,43896,784,15353,106,54097,38019,677,15306,95,53387,37322,673,15297,95
Arunachal Pradesh,3140,2479,64,569,28,2934,2278,64,564,28,2372,1723,63,559,27
Assam,54769,44369,1502,6449,2449,51967,43778,970,6231,988,51285,43701,806,5986,792
Bihar,93403,75620,660,11133,5990,91757,74144,638,11026,5949,91112,73596,621,10964,5931
Chandigarh,204,118,6,80,0,204,118,6,80,0,204,118,6,80,0
Chhattisgarh,55578,47672,366,7365,175,51207,43365,354,7326,162,46839,39116,349,7216,158
"Dadra and Nagar Haveli andDaman and Diu",431,359,8,63,1,430,358,8,63,1,430,358,8,63,1
Delhi,4794,1995,182,2617,0,4781,1983,182,2616,0,4781,1983,182,2616,0
Goa,1468,780,547,141,0,1468,780,547,141,0,1466,779,546,141,0
Gujarat,51667,33577,5174,12912,4,50948,32914,5135,12895,4,50329,32323,5123,12879,4
Haryana,22508,13395,3,8462,648,22494,13388,3,8456,647,22486,13387,3,8450,646
Himachal Pradesh,17259,14657,0,2600,2,17144,14542,0,2600,2,17057,14468,0,2587,2
Jammu and Kashmir,23896,18511,1,5339,45,21495,16149,1,5304,41,19424,14186,1,5197,40
Jharkhand,43635,35283,1040,1612,5700,42700,34516,948,1595,5641,41375,33339,887,1583,5566
Karnataka,73395,47909,6594,18887,5,71273,45910,6560,18798,5,70504,45172,6555,18772,5
Kerala,15551,4758,7027,3000,766,15471,4727,6984,2995,765,15442,4715,6972,2992,763
Ladakh,930,788,31,111,0,887,749,27,111,0,858,721,27,110,0
Lakshadweep,36,36,0,0,0,36,36,0,0,0,36,36,0,0,0
Madhya Pradesh,119917,90179,506,28136,1096,117194,87783,502,27836,1073,104520,76373,485,26641,1021
Maharashtra,106578,64039,23726,18605,208,102177,59742,23648,18579,208,98061,55870,23553,18430,208
Manipur,4631,2937,570,1026,98,4010,2529,377,1018,86,3540,2150,314,994,82
Meghalaya,14508,7765,4130,2122,491,12542,7100,3476,1611,355,10447,5814,2885,1426,322
Mizoram,3970,2616,230,1067,57,3583,2304,210,1012,57,3173,1933,200,984,56
Nagaland,2749,1936,0,813,0,2546,1747,0,799,0,2218,1429,0,789,0
Odisha,60696,48287,5484,5964,961,59333,47195,5264,5933,941,58597,46590,5180,5893,934
Puducherry,732,394,30,308,0,728,390,30,308,0,727,389,30,308,0
Punjab,26837,18893,412,7520,12,26493,18569,409,7503,12,26260,18379,405,7464,12
Rajasthan,103757,67762,0,33412,2583,98236,63180,0,32770,2286,89515,57827,0,29736,1952
Sikkim,1239,852,16,371,0,1228,842,15,371,0,1220,834,15,371,0
Tamil Nadu,56806,37013,7820,11809,164,52535,33022,7674,11675,164,51644,32150,7662,11668,164
Telangana,41629,28703,517,12377,32,37463,24634,463,12339,27,36085,23279,459,12320,27
Tripura,4919,4167,42,481,229,4548,3870,42,469,167,3643,3027,39,447,130
Uttar Pradesh,259142,135933,7704,103425,12080,253739,132942,7397,101570,11830,244986,129670,7133,97220,10963
Uttarakhand,22139,15784,581,5313,461,21594,15268,570,5296,460,19717,13751,535,5014,417
West Bengal,91021,79693,54,7058,4216,90595,79344,54,7012,4185,90595,79344,54,7012,4185
