India/State/ UT,Percentage of Girls’ and Co-educational Schools with girl’s toilet facility,Percentage of Girls’ and Co-educational Schools with functional girl’s toilet facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,97.3,97.1,97.1,98.3,93,94,93.6,95.3,95.4,89
Andaman and Nicobar Islands,100,100,100,100,0,100,100,100,100,0
Andhra Pradesh,99.1,98.9,99.5,99.9,99,98.8,98.4,99.4,99.8,99
Arunachal Pradesh,91.2,89.2,98.6,98.6,100,73.7,67.4,97.1,97.7,96.4
Assam,95.4,99.2,68.8,96.4,41.1,94.3,99.1,58.7,92.9,33.7
Bihar,98.7,98.7,95.9,99,99,98.1,98.1,94,98.4,98.7
Chandigarh,100,100,100,100,0,100,100,100,100,0
Chhattisgarh,95.3,94.7,98.1,99.3,95.9,90,88.7,96.8,98,95.9
"Dadra & Nagar Haveli andDaman & Diu",99.8,99.7,100,100,0,99.8,99.7,100,100,0
Delhi,100,99.9,100,100,0,100,99.9,100,100,0
Goa,100,100,100,100,0,99.9,99.9,100,100,0
Gujarat,98.8,98.3,99.5,99.9,100,97.9,96.9,99.2,99.8,100
Haryana,99.8,99.8,100,99.9,99.7,99.8,99.8,100,99.8,99.4
Himachal Pradesh,99.5,99.4,0,100,100,99.1,99,0,99.8,100
Jammu and Kashmir,91.7,90.2,100,97.4,79.5,84.4,81.2,100,95.3,79.5
Jharkhand,98.6,98.6,91.8,99.7,99.1,95.9,95.8,87.1,98.9,97.8
Karnataka,99.1,98.8,99.8,99.7,100,98.5,98,99.7,99.5,100
Kerala,99.7,99.5,99.7,100,99.7,99.6,99.4,99.6,99.9,99.6
Ladakh,92.2,91.2,92.3,100,0,89.5,88.3,84.6,98.2,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,97.7,97.5,98.3,98.5,96.6,88.6,86.8,95.2,94.1,91.9
Maharashtra,97.5,95.9,99.8,99.8,98.5,94.4,91.1,99.4,98.9,98
Manipur,83.6,82.3,63.4,98.7,81.4,74.5,70.8,54.3,96.3,78.4
Meghalaya,82.2,85.9,81.5,72.4,70.9,68.7,70.1,68.5,64.9,64.8
Mizoram,88.4,85.6,91.4,94.2,100,79.1,72.6,88.8,91.9,98.2
Nagaland,91.4,88.6,0,98,0,80.6,73.8,0,96.8,0
Odisha,99,99.2,97.3,99.3,98.1,98.1,98.3,96.1,98.6,97.6
Puducherry,99.9,100,100,99.7,0,99.9,100,100,99.7,0
Punjab,99.3,99.2,100,99.7,100,98.6,98.4,99.1,99,100
Rajasthan,95,94.3,0,97.2,85.6,87.3,87.3,0,88.1,74.4
Sikkim,98.3,98.7,76.9,98.1,0,97.7,97.9,76.9,97.8,0
Tamil Nadu,95.6,93.8,99.1,99,100,94.5,92.1,98.9,98.9,100
Telangana,95.7,94,92.3,99.8,97.2,92.9,90.1,91.6,99.6,97.2
Tripura,90.6,91.1,100,97.7,63.6,75.4,74.4,97.6,93.1,52
Uttar Pradesh,97.3,97.3,96.9,97.5,96.5,94,94.8,93.4,93.4,89.8
Uttarakhand,98.2,97.9,98.5,99.3,99.8,90.9,90,93.5,93.5,89.8
West Bengal,99.6,99.7,96.8,99.4,99.1,99.6,99.7,96.8,99.4,99.1
