India/State/ UT,Total Girls’ and Co-educational Schools,Schools with girl’s toilet facility,Schools with functional girl’s toilet facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government. aided","Pvt.unaided",Others,"Allmanagement","Government.","Government. aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1460644,1004751,78203,338810,38880,1421205,975971,75925,333147,36162,1372881,940625,74540,323120,34596
Andaman and Nicobar Islands,408,335,2,71,0,408,335,2,71,0,408,335,2,71,0
Andhra Pradesh,60825,44444,830,15453,98,60305,43943,826,15439,97,60089,43739,825,15428,97
Arunachal Pradesh,3224,2556,70,570,28,2940,2281,69,562,28,2376,1724,68,557,27
Assam,55220,44697,1587,6470,2466,52679,44337,1092,6237,1013,52065,44295,931,6009,830
Bihar,94174,76183,702,11264,6025,92976,75187,673,11149,5967,92426,74742,660,11080,5944
Chandigarh,206,118,7,81,0,206,118,7,81,0,206,118,7,81,0
Chhattisgarh,55889,47976,373,7371,169,53268,45418,366,7322,162,50316,42573,361,7220,162
"Dadra and Nagar Haveli andDaman and Diu",432,361,8,63,0,431,360,8,63,0,431,360,8,63,0
Delhi,4722,1921,169,2632,0,4721,1920,169,2632,0,4720,1920,169,2631,0
Goa,1470,780,550,140,0,1470,780,550,140,0,1469,779,550,140,0
Gujarat,52123,33699,5411,13008,5,51510,33127,5383,12995,5,51015,32661,5370,12979,5
Haryana,23062,13932,4,8477,649,23027,13906,4,8470,647,23012,13903,4,8460,645
Himachal Pradesh,17294,14692,0,2600,2,17202,14600,0,2600,2,17146,14549,0,2595,2
Jammu and Kashmir,24057,18671,1,5341,44,22070,16833,1,5201,35,20293,15169,1,5088,35
Jharkhand,44111,35646,1080,1698,5687,43478,35156,991,1693,5638,42324,34141,941,1679,5563
Karnataka,74387,48467,6850,19067,3,73729,47880,6839,19007,3,73289,47481,6828,18977,3
Kerala,15706,4794,7130,3015,767,15662,4772,7111,3014,765,15645,4766,7103,3012,764
Ladakh,929,806,13,110,0,857,735,12,110,0,831,712,11,108,0
Lakshadweep,36,36,0,0,0,36,36,0,0,0,36,36,0,0,0
Madhya Pradesh,120806,91027,525,28157,1097,118048,88743,516,27729,1060,106996,79005,500,26483,1008
Maharashtra,107326,64182,24258,18687,199,104622,61567,24218,18641,196,101286,58487,24115,18489,195
Manipur,4660,2950,584,1029,97,3894,2429,370,1016,79,3474,2090,317,991,76
Meghalaya,14574,7786,4166,2131,491,11973,6685,3397,1543,348,10016,5460,2854,1384,318
Mizoram,3973,2616,232,1068,57,3514,2239,212,1006,57,3142,1898,206,982,56
Nagaland,2750,1936,0,814,0,2514,1716,0,798,0,2216,1428,0,788,0
Odisha,61491,48570,5860,6099,962,60867,48166,5699,6058,944,60331,47747,5632,6013,939
Puducherry,739,400,30,309,0,738,400,30,308,0,738,400,30,308,0
Punjab,27104,19081,428,7585,10,26916,18919,428,7559,10,26727,18781,424,7512,10
Rajasthan,106257,70114,0,33545,2598,100920,66104,0,32591,2225,92729,61238,0,29557,1934
Sikkim,1163,780,13,370,0,1143,770,10,363,0,1136,764,10,362,0
Tamil Nadu,57296,37276,7999,11857,164,54803,34976,7926,11737,164,54155,34345,7915,11731,164
Telangana,42477,29421,569,12451,36,40654,27669,525,12425,35,39454,26494,521,12404,35
Tripura,4932,4185,41,481,225,4468,3814,41,470,143,3720,3115,40,448,117
Uttar Pradesh,261672,136979,8065,104352,12276,254734,133311,7815,101756,11852,245884,129892,7531,97435,11026
Uttarakhand,22349,15964,583,5339,463,21957,15621,574,5300,462,20315,14360,545,4994,416
West Bengal,92800,81370,63,7105,4262,92465,81118,61,7061,4225,92465,81118,61,7061,4225
