India/State/ UT,Total Schools,Schools with hand wash facility,Percentage of Schools with hand wash facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471473,1013322,79349,339583,39219,1411644,975829,74457,326231,35127,95.9,96.3,93.8,96.1,89.6
Andaman and Nicobar Islands,408,335,2,71,0,408,335,2,71,0,100,100,100,100,0
Andhra Pradesh,61317,44886,838,15473,120,61057,44634,834,15469,120,99.6,99.4,99.5,100,100
Arunachal Pradesh,3229,2558,72,571,28,1757,1118,69,544,26,54.4,43.7,95.8,95.3,92.9
Assam,55283,44741,1587,6480,2475,51426,43457,987,5890,1092,93,97.1,62.2,90.9,44.1
Bihar,94339,76320,712,11274,6033,91653,74270,666,10944,5773,97.2,97.3,93.5,97.1,95.7
Chandigarh,207,118,7,82,0,207,118,7,82,0,100,100,100,100,0
Chhattisgarh,56802,48827,413,7382,180,55486,47566,411,7331,178,97.7,97.4,99.5,99.3,98.9
"Dadra and Nagar Haveli andDaman and Diu",433,361,8,63,1,433,361,8,63,1,100,100,100,100,100
Delhi,5556,2681,238,2637,0,5556,2681,238,2637,0,100,100,100,100,0
Goa,1479,780,558,141,0,1479,780,558,141,0,100,100,100,100,0
Gujarat,53355,34638,5522,13190,5,52286,34263,5165,12853,5,98,98.9,93.5,97.4,100
Haryana,23494,14338,4,8499,653,23457,14322,4,8480,651,99.8,99.9,100,99.8,99.7
Himachal Pradesh,17330,14725,0,2603,2,17266,14665,0,2599,2,99.6,99.6,0,99.8,100
Jammu and Kashmir,24192,18785,1,5359,47,22639,17315,1,5278,45,93.6,92.2,100,98.5,95.7
Jharkhand,44376,35788,1155,1707,5726,41625,33514,1036,1640,5435,93.8,93.6,89.7,96.1,94.9
Karnataka,74859,48844,6905,19105,5,70061,45346,6578,18132,5,93.6,92.8,95.3,94.9,100
Kerala,15757,4808,7164,3018,767,15732,4798,7153,3015,766,99.8,99.8,99.8,99.9,99.9
Ladakh,961,812,38,111,0,741,600,35,106,0,77.1,73.9,92.1,95.5,0
Lakshadweep,36,36,0,0,0,36,36,0,0,0,100,100,0,0,0
Madhya Pradesh,122120,92250,550,28212,1108,114539,85425,529,27517,1068,93.8,92.6,96.2,97.5,96.4
Maharashtra,108250,64884,24406,18746,214,107041,63891,24278,18658,214,98.9,98.5,99.5,99.5,100
Manipur,4666,2952,585,1030,99,3762,2295,449,946,72,80.6,77.7,76.8,91.8,72.7
Meghalaya,14587,7789,4172,2135,491,6235,3299,1827,882,227,42.7,42.4,43.8,41.3,46.2
Mizoram,3974,2617,232,1068,57,2951,1993,138,775,45,74.3,76.2,59.5,72.6,78.9
Nagaland,2750,1936,0,814,0,1920,1235,0,685,0,69.8,63.8,0,84.2,0
Odisha,61565,48625,5868,6107,965,61314,48494,5794,6077,949,99.6,99.7,98.7,99.5,98.3
Puducherry,763,419,33,311,0,763,419,33,311,0,100,100,100,100,0
Punjab,27281,19243,437,7589,12,27260,19229,436,7583,12,99.9,99.9,99.8,99.9,100
Rajasthan,106302,70155,0,33548,2599,102859,67765,0,32735,2359,96.8,96.6,0,97.6,90.8
Sikkim,1245,857,16,372,0,1219,836,14,369,0,97.9,97.5,87.5,99.2,0
Tamil Nadu,57935,37626,8254,11890,165,57404,37244,8209,11786,165,99.1,99,99.5,99.1,100
Telangana,43154,30057,579,12474,44,41387,28598,503,12247,39,95.9,95.1,86.9,98.2,88.6
Tripura,4943,4187,42,485,229,4606,3909,41,467,189,93.2,93.4,97.6,96.3,82.5
Uttar Pradesh,262358,137172,8262,104508,12416,251524,134727,7779,97797,11221,95.9,98.2,94.2,93.6,90.4
Uttarakhand,22452,16018,615,5352,467,21958,15634,606,5264,454,97.8,97.6,98.5,98.4,97.2
West Bengal,93715,82154,74,7176,4311,91597,80657,69,6857,4014,97.7,98.2,93.2,95.6,93.1
