India/State/ UT,Total Schools,"Schools with Library/Book Bank/Reading Cornerfacility","Percentage of Schools with Library/BookBank/Reading Corner facility",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471473,1013322,79349,339583,39219,1316991,946735,70794,277330,22132,89.5,93.4,89.2,81.7,56.4
Andaman and Nicobar Islands,408,335,2,71,0,406,335,2,69,0,99.5,100,100,97.2,0
Andhra Pradesh,61317,44886,838,15473,120,61304,44878,838,15468,120,100,100,100,100,100
Arunachal Pradesh,3229,2558,72,571,28,1415,927,66,410,12,43.8,36.2,91.7,71.8,42.9
Assam,55283,44741,1587,6480,2475,51763,44704,966,5191,902,93.6,99.9,60.9,80.1,36.4
Bihar,94339,76320,712,11274,6033,62905,50332,423,8687,3463,66.7,65.9,59.4,77.1,57.4
Chandigarh,207,118,7,82,0,207,118,7,82,0,100,100,100,100,0
Chhattisgarh,56802,48827,413,7382,180,55440,48231,394,6655,160,97.6,98.8,95.4,90.2,88.9
"Dadra and Nagar Haveli andDaman and Diu",433,361,8,63,1,432,361,8,62,1,99.8,100,100,98.4,100
Delhi,5556,2681,238,2637,0,5556,2681,238,2637,0,100,100,100,100,0
Goa,1479,780,558,141,0,1479,780,558,141,0,100,100,100,100,0
Gujarat,53355,34638,5522,13190,5,51231,34185,5402,11639,5,96,98.7,97.8,88.2,100
Haryana,23494,14338,4,8499,653,23005,14325,3,8133,544,97.9,99.9,75,95.7,83.3
Himachal Pradesh,17330,14725,0,2603,2,17258,14717,0,2540,1,99.6,99.9,0,97.6,50
Jammu and Kashmir,24192,18785,1,5359,47,18171,13821,1,4319,30,75.1,73.6,100,80.6,63.8
Jharkhand,44376,35788,1155,1707,5726,42010,35148,1057,1646,4159,94.7,98.2,91.5,96.4,72.6
Karnataka,74859,48844,6905,19105,5,73669,48394,6820,18450,5,98.4,99.1,98.8,96.6,100
Kerala,15757,4808,7164,3018,767,15579,4776,7144,2958,701,98.9,99.3,99.7,98,91.4
Ladakh,961,812,38,111,0,914,777,34,103,0,95.1,95.7,89.5,92.8,0
Lakshadweep,36,36,0,0,0,36,36,0,0,0,100,100,0,0,0
Madhya Pradesh,122120,92250,550,28212,1108,119819,91757,522,26616,924,98.1,99.5,94.9,94.3,83.4
Maharashtra,108250,64884,24406,18746,214,106653,64568,23940,17950,195,98.5,99.5,98.1,95.8,91.1
Manipur,4666,2952,585,1030,99,1306,420,69,791,26,28,14.2,11.8,76.8,26.3
Meghalaya,14587,7789,4172,2135,491,4163,2551,1108,426,78,28.5,32.8,26.6,20,15.9
Mizoram,3974,2617,232,1068,57,3054,2370,149,514,21,76.8,90.6,64.2,48.1,36.8
Nagaland,2750,1936,0,814,0,2185,1678,0,507,0,79.5,86.7,0,62.3,0
Odisha,61565,48625,5868,6107,965,61469,48612,5830,6079,948,99.8,100,99.4,99.5,98.2
Puducherry,763,419,33,311,0,763,419,33,311,0,100,100,100,100,0
Punjab,27281,19243,437,7589,12,26890,19225,389,7267,9,98.6,99.9,89,95.8,75
Rajasthan,106302,70155,0,33548,2599,85424,58640,0,26073,711,80.4,83.6,0,77.7,27.4
Sikkim,1245,857,16,372,0,1146,806,12,328,0,92,94,75,88.2,0
Tamil Nadu,57935,37626,8254,11890,165,57407,37404,8148,11691,164,99.1,99.4,98.7,98.3,99.4
Telangana,43154,30057,579,12474,44,40966,28723,476,11741,26,94.9,95.6,82.2,94.1,59.1
Tripura,4943,4187,42,485,229,3866,3442,33,321,70,78.2,82.2,78.6,66.2,30.6
Uttar Pradesh,262358,137172,8262,104508,12416,214186,134699,5527,68174,5786,81.6,98.2,66.9,65.2,46.6
Uttarakhand,22452,16018,615,5352,467,21777,15847,535,4993,402,97,98.9,87,93.3,86.1
West Bengal,93715,82154,74,7176,4311,83137,76048,62,4358,2669,88.7,92.6,83.8,60.7,61.9
