India/State/ UT,Total Schools,"Schools conducted medical checkups in last academicyear","Percentage of Schools conducted medical checkupsin last academic year",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471473,1013322,79349,339583,39219,1111495,833911,66557,196951,14076,75.5,82.3,83.9,58,35.9
Andaman and Nicobar Islands,408,335,2,71,0,407,335,2,70,0,99.8,100,100,98.6,0
Andhra Pradesh,61317,44886,838,15473,120,58845,44145,819,13767,114,96,98.3,97.7,89,95
Arunachal Pradesh,3229,2558,72,571,28,1758,1339,53,353,13,54.4,52.3,73.6,61.8,46.4
Assam,55283,44741,1587,6480,2475,46609,43121,603,2272,613,84.3,96.4,38,35.1,24.8
Bihar,94339,76320,712,11274,6033,30806,26053,157,3320,1276,32.7,34.1,22.1,29.4,21.2
Chandigarh,207,118,7,82,0,202,118,7,77,0,97.6,100,100,93.9,0
Chhattisgarh,56802,48827,413,7382,180,52200,46633,375,5065,127,91.9,95.5,90.8,68.6,70.6
"Dadra and Nagar Haveli andDaman and Diu",433,361,8,63,1,433,361,8,63,1,100,100,100,100,100
Delhi,5556,2681,238,2637,0,5446,2657,226,2563,0,98,99.1,95,97.2,0
Goa,1479,780,558,141,0,1455,777,548,130,0,98.4,99.6,98.2,92.2,0
Gujarat,53355,34638,5522,13190,5,45393,31512,4683,9196,2,85.1,91,84.8,69.7,40
Haryana,23494,14338,4,8499,653,21076,14252,4,6344,476,89.7,99.4,100,74.6,72.9
Himachal Pradesh,17330,14725,0,2603,2,16495,14257,0,2236,2,95.2,96.8,0,85.9,100
Jammu and Kashmir,24192,18785,1,5359,47,18542,14728,1,3782,31,76.6,78.4,100,70.6,66
Jharkhand,44376,35788,1155,1707,5726,31467,27355,858,914,2340,70.9,76.4,74.3,53.5,40.9
Karnataka,74859,48844,6905,19105,5,68606,46821,6408,15373,4,91.6,95.9,92.8,80.5,80
Kerala,15757,4808,7164,3018,767,13971,4479,6545,2364,583,88.7,93.2,91.4,78.3,76
Ladakh,961,812,38,111,0,885,747,37,101,0,92.1,92,97.4,91,0
Lakshadweep,36,36,0,0,0,36,36,0,0,0,100,100,0,0,0
Madhya Pradesh,122120,92250,550,28212,1108,85756,69044,340,16017,355,70.2,74.8,61.8,56.8,32
Maharashtra,108250,64884,24406,18746,214,99772,62546,22171,14914,141,92.2,96.4,90.8,79.6,65.9
Manipur,4666,2952,585,1030,99,2268,1363,297,568,40,48.6,46.2,50.8,55.1,40.4
Meghalaya,14587,7789,4172,2135,491,9206,5442,2620,915,229,63.1,69.9,62.8,42.9,46.6
Mizoram,3974,2617,232,1068,57,2614,1908,170,507,29,65.8,72.9,73.3,47.5,50.9
Nagaland,2750,1936,0,814,0,1234,906,0,328,0,44.9,46.8,0,40.3,0
Odisha,61565,48625,5868,6107,965,59067,47634,5513,5119,801,95.9,98,94,83.8,83
Puducherry,763,419,33,311,0,761,419,33,309,0,99.7,100,100,99.4,0
Punjab,27281,19243,437,7589,12,23496,18567,373,4551,5,86.1,96.5,85.4,60,41.7
Rajasthan,106302,70155,0,33548,2599,70688,53189,0,16410,1089,66.5,75.8,0,48.9,41.9
Sikkim,1245,857,16,372,0,1130,811,12,307,0,90.8,94.6,75,82.5,0
Tamil Nadu,57935,37626,8254,11890,165,55218,37151,8056,9888,123,95.3,98.7,97.6,83.2,74.5
Telangana,43154,30057,579,12474,44,36460,26964,384,9086,26,84.5,89.7,66.3,72.8,59.1
Tripura,4943,4187,42,485,229,3982,3463,34,342,143,80.6,82.7,81,70.5,62.4
Uttar Pradesh,262358,137172,8262,104508,12416,163296,110521,4682,44121,3972,62.2,80.6,56.7,42.2,32
Uttarakhand,22452,16018,615,5352,467,18903,15135,511,2999,258,84.2,94.5,83.1,56,55.2
West Bengal,93715,82154,74,7176,4311,63012,59122,27,2580,1283,67.2,72,36.5,36,29.8
