India/State/ UT,Total Schools,Schools with computer facility,Percentage of Schools with computer facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471473,1013322,79349,339583,39219,951868,610314,58701,265107,17746,64.7,60.2,74,78.1,45.2
Andaman and Nicobar Islands,408,335,2,71,0,346,275,2,69,0,84.8,82.1,100,97.2,0
Andhra Pradesh,61317,44886,838,15473,120,48833,32757,603,15358,115,79.6,73,72,99.3,95.8
Arunachal Pradesh,3229,2558,72,571,28,1539,920,68,531,20,47.7,36,94.4,93,71.4
Assam,55283,44741,1587,6480,2475,43515,39249,163,4006,97,78.7,87.7,10.3,61.8,3.9
Bihar,94339,76320,712,11274,6033,23750,12582,111,8099,2958,25.2,16.5,15.6,71.8,49
Chandigarh,207,118,7,82,0,206,118,7,81,0,99.5,100,100,98.8,0
Chhattisgarh,56802,48827,413,7382,180,35610,29791,193,5566,60,62.7,61,46.7,75.4,33.3
"Dadra and Nagar Haveli andDaman and Diu",433,361,8,63,1,421,349,8,63,1,97.2,96.7,100,100,100
Delhi,5556,2681,238,2637,0,5553,2680,236,2637,0,99.9,100,99.2,100,0
Goa,1479,780,558,141,0,844,177,533,134,0,57.1,22.7,95.5,95,0
Gujarat,53355,34638,5522,13190,5,52203,33867,5479,12852,5,97.8,97.8,99.2,97.4,100
Haryana,23494,14338,4,8499,653,22860,14154,3,8145,558,97.3,98.7,75,95.8,85.5
Himachal Pradesh,17330,14725,0,2603,2,13496,11034,0,2461,1,77.9,74.9,0,94.5,50
Jammu and Kashmir,24192,18785,1,5359,47,10417,5950,1,4431,35,43.1,31.7,100,82.7,74.5
Jharkhand,44376,35788,1155,1707,5726,33718,27656,410,1534,4118,76,77.3,35.5,89.9,71.9
Karnataka,74859,48844,6905,19105,5,41662,19981,4927,16750,4,55.7,40.9,71.4,87.7,80
Kerala,15757,4808,7164,3018,767,15683,4792,7150,3004,737,99.5,99.7,99.8,99.5,96.1
Ladakh,961,812,38,111,0,579,455,16,108,0,60.2,56,42.1,97.3,0
Lakshadweep,36,36,0,0,0,36,36,0,0,0,100,100,0,0,0
Madhya Pradesh,122120,92250,550,28212,1108,72323,49092,269,22565,397,59.2,53.2,48.9,80,35.8
Maharashtra,108250,64884,24406,18746,214,89346,47940,22972,18228,206,82.5,73.9,94.1,97.2,96.3
Manipur,4666,2952,585,1030,99,1775,722,70,927,56,38,24.5,12,90,56.6
Meghalaya,14587,7789,4172,2135,491,2869,944,1025,738,162,19.7,12.1,24.6,34.6,33
Mizoram,3974,2617,232,1068,57,3049,2017,189,803,40,76.7,77.1,81.5,75.2,70.2
Nagaland,2750,1936,0,814,0,2498,1745,0,753,0,90.8,90.1,0,92.5,0
Odisha,61565,48625,5868,6107,965,47241,37557,3979,5048,657,76.7,77.2,67.8,82.7,68.1
Puducherry,763,419,33,311,0,759,417,33,309,0,99.5,99.5,100,99.4,0
Punjab,27281,19243,437,7589,12,27015,19194,406,7406,9,99,99.7,92.9,97.6,75
Rajasthan,106302,70155,0,33548,2599,56702,27841,0,27916,945,53.3,39.7,0,83.2,36.4
Sikkim,1245,857,16,372,0,1166,789,12,365,0,93.7,92.1,75,98.1,0
Tamil Nadu,57935,37626,8254,11890,165,53676,37465,4578,11478,155,92.6,99.6,55.5,96.5,93.9
Telangana,43154,30057,579,12474,44,37095,25234,248,11598,15,86,84,42.8,93,34.1
Tripura,4943,4187,42,485,229,3289,2788,33,413,55,66.5,66.6,78.6,85.2,24
Uttar Pradesh,262358,137172,8262,104508,12416,157798,87272,4420,62120,3986,60.1,63.6,53.5,59.4,32.1
Uttarakhand,22452,16018,615,5352,467,20504,14968,500,4784,252,91.3,93.4,81.3,89.4,54
West Bengal,93715,82154,74,7176,4311,23492,17506,57,3827,2102,25.1,21.3,77,53.3,48.8
